Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+5.000000000E+00
Attenuation,30.000000,Manual
Sweep Time,7305437.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,30.000000,Manual
VBW,30.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,21333.33333333,,,,,,,
Marker Ampt,-10.39182031,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,127.05
1333,51.31
2667,51.50
4000,48.62
5333,51.50
6667,50.35
8000,49.76
9333,51.09
10667,51.41
12000,52.32
13333,50.27
14667,49.23
16000,52.68
17333,48.48
18667,50.01
20000,76.02
21333,96.60
22667,65.38
24000,50.47
25333,50.76
26667,50.96
28000,50.31
29333,51.62
30667,49.17
32000,49.83
33333,49.95
34667,51.87
36000,50.25
37333,50.64
38667,50.53
40000,50.65
41333,71.57
42667,86.56
44000,84.56
45333,50.33
46667,50.70
48000,51.20
49333,53.00
50667,51.40
52000,50.20
53333,53.54
54667,51.28
56000,51.72
57333,50.68
58667,50.13
60000,51.88
61333,53.51
62667,64.20
64000,73.11
65333,58.89
66667,50.41
68000,51.86
69333,50.69
70667,50.76
72000,51.79
73333,50.26
74667,49.17
76000,48.84
77333,50.76
78667,50.69
80000,52.99
81333,50.96
82667,56.01
84000,65.02
85333,72.44
86667,72.81
88000,49.96
89333,49.62
90667,50.89
92000,54.02
93333,51.55
94667,51.72
96000,49.69
97333,50.34
98667,49.33
100000,53.59
101333,49.73
102667,52.84
104000,53.91
105333,54.96
106667,59.98
108000,65.17
109333,51.52
110667,50.87
112000,54.67
113333,51.16
114667,52.54
116000,51.72
117333,50.45
118667,50.43
120000,51.91
121333,51.42
122667,54.29
124000,50.02
125333,52.79
126667,58.77
128000,60.49
129333,66.83
130667,52.00
132000,53.65
133333,53.76
134667,50.59
136000,52.34
137333,52.01
138667,50.92
140000,51.88
141333,53.23
142667,50.62
144000,51.62
145333,51.23
146667,51.07
148000,52.41
149333,50.83
150667,59.88
152000,58.10
153333,53.07
154667,51.07
156000,54.32
157333,50.17
158667,51.38
160000,50.45
161333,52.95
162667,51.02
164000,50.43
165333,52.63
166667,53.39
168000,51.97
169333,52.12
170667,51.66
172000,51.49
173333,54.17
174667,51.23
176000,50.81
177333,50.67
178667,49.94
180000,50.69
181333,51.15
182667,52.65
184000,52.15
185333,51.48
186667,51.84
188000,51.02
189333,48.85
190667,52.95
192000,55.13
193333,51.41
194667,55.63
196000,52.25
197333,53.05
198667,52.67
200000,52.93
201333,53.26
202667,54.05
204000,49.03
205333,51.53
206667,53.46
208000,50.73
209333,52.42
210667,51.80
212000,52.14
213333,49.30
214667,50.58
216000,51.29
217333,54.51
218667,52.73
220000,50.77
221333,52.44
222667,51.55
224000,52.73
225333,51.74
226667,51.00
228000,51.27
229333,50.37
230667,51.84
232000,49.86
233333,50.71
234667,54.79
236000,53.04
237333,51.83
238667,51.59
240000,51.51
241333,50.69
242667,50.69
244000,52.85
245333,51.66
246667,50.53
248000,51.08
249333,51.01
250667,54.16
252000,50.32
253333,51.41
254667,51.38
256000,52.03
257333,49.74
258667,50.33
260000,50.47
261333,50.63
262667,52.63
264000,52.81
265333,49.22
266667,51.20
268000,50.37
269333,52.54
270667,48.49
272000,52.43
273333,50.74
274667,53.44
276000,51.36
277333,52.22
278667,50.68
280000,53.26
281333,51.68
282667,52.97
284000,51.94
285333,51.87
286667,50.15
288000,50.84
289333,51.48
290667,51.75
292000,51.25
293333,48.68
294667,52.43
296000,50.00
297333,52.16
298667,50.10
300000,52.89
301333,48.82
302667,50.69
304000,49.66
305333,50.35
306667,50.63
308000,50.83
309333,50.52
310667,49.32
312000,49.78
313333,49.01
314667,48.47
316000,50.82
317333,48.79
318667,49.48
320000,46.94
321333,50.27
322667,50.63
324000,50.06
325333,49.78
326667,51.69
328000,50.47
329333,49.24
330667,49.26
332000,51.59
333333,49.39
334667,48.62
336000,49.35
337333,49.52
338667,48.67
340000,49.24
341333,50.41
342667,49.16
344000,49.24
345333,49.84
346667,50.06
348000,47.46
349333,49.23
350667,50.40
352000,48.05
353333,48.17
354667,48.93
356000,47.69
357333,48.79
358667,49.61
360000,48.54
361333,49.16
362667,48.64
364000,48.32
365333,49.70
366667,50.04
368000,50.37
369333,49.16
370667,47.92
372000,48.74
373333,49.32
374667,49.02
376000,47.90
377333,49.36
378667,48.26
380000,47.86
381333,47.86
382667,48.43
384000,46.58
385333,51.02
386667,48.23
388000,48.40
389333,47.14
390667,47.88
392000,48.03
393333,47.92
394667,47.03
396000,48.26
397333,46.04
398667,48.08
400000,46.97
401333,47.94
402667,46.67
404000,47.49
405333,47.01
406667,46.13
408000,45.23
409333,48.59
410667,47.21
412000,47.27
413333,48.00
414667,47.50
416000,47.29
417333,48.05
418667,48.19
420000,47.34
421333,46.92
422667,46.54
424000,46.83
425333,45.63
426667,46.07
428000,49.55
429333,46.05
430667,46.58
432000,45.81
433333,46.77
434667,45.13
436000,47.42
437333,47.43
438667,45.39
440000,46.70
441333,45.99
442667,44.24
444000,45.46
445333,47.74
446667,45.33
448000,45.49
449333,49.12
450667,46.74
452000,47.47
453333,44.22
454667,44.10
456000,44.92
457333,45.86
458667,45.31
460000,45.28
461333,44.36
462667,47.32
464000,44.63
465333,44.43
466667,45.36
468000,43.56
469333,46.36
470667,45.64
472000,44.29
473333,43.59
474667,46.29
476000,44.92
477333,42.93
478667,43.48
480000,45.26
481333,44.82
482667,45.98
484000,45.62
485333,47.78
486667,45.62
488000,44.73
489333,46.38
490667,45.49
492000,46.79
493333,43.00
494667,45.38
496000,44.21
497333,43.95
498667,46.00
500000,43.18
501333,46.48
502667,44.40
504000,44.01
505333,44.48
506667,44.43
508000,43.76
509333,41.93
510667,46.85
512000,44.04
513333,44.85
514667,43.02
516000,45.58
517333,43.68
518667,45.38
520000,43.18
521333,43.83
522667,46.12
524000,45.23
525333,42.09
526667,45.24
528000,43.80
529333,43.06
530667,42.48
532000,43.25
533333,42.35
534667,43.70
536000,43.10
537333,46.06
538667,43.45
540000,44.20
541333,43.00
542667,42.50
544000,41.25
545333,45.06
546667,43.37
548000,43.41
549333,42.27
550667,42.54
552000,41.09
553333,44.07
554667,42.71
556000,40.66
557333,41.38
558667,42.48
560000,43.38
561333,40.73
562667,41.82
564000,41.75
565333,43.00
566667,43.55
568000,40.42
569333,43.08
570667,42.49
572000,44.03
573333,42.21
574667,42.70
576000,42.40
577333,42.40
578667,43.67
580000,42.33
581333,41.14
582667,39.77
584000,43.60
585333,41.81
586667,42.28
588000,41.95
589333,45.94
590667,40.05
592000,43.25
593333,42.98
594667,43.34
596000,42.20
597333,41.04
598667,43.07
600000,41.89
601333,42.35
602667,41.29
604000,41.63
605333,42.04
606667,40.58
608000,43.12
609333,40.21
610667,40.91
612000,40.04
613333,40.99
614667,41.13
616000,41.39
617333,41.24
618667,42.75
620000,39.96
621333,42.28
622667,41.04
624000,41.40
625333,41.28
626667,43.16
628000,42.99
629333,40.99
630667,41.26
632000,40.15
633333,40.79
634667,41.45
636000,42.21
637333,39.21
638667,41.28
640000,39.85
641333,40.67
642667,41.04
644000,42.89
645333,40.44
646667,41.18
648000,42.26
649333,43.24
650667,42.20
652000,40.58
653333,39.98
654667,39.19
656000,42.32
657333,39.82
658667,41.17
660000,39.51
661333,40.72
662667,40.05
664000,39.71
665333,40.04
666667,40.74
668000,42.89
669333,39.74
670667,41.15
672000,42.80
673333,42.03
674667,38.96
676000,39.88
677333,39.58
678667,38.88
680000,39.07
681333,41.00
682667,41.71
684000,40.16
685333,39.75
686667,41.61
688000,40.47
689333,41.07
690667,42.35
692000,41.15
693333,41.30
694667,40.77
696000,38.98
697333,38.04
698667,40.19
700000,38.99
701333,38.01
702667,39.66
704000,39.61
705333,39.75
706667,38.68
708000,38.93
709333,39.92
710667,39.21
