Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+5.000000000E+00
Attenuation,30.000000,Manual
Sweep Time,14523906.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+2.000000000E+06
Average Type,Log Pwr
RBW,30.000000,Manual
VBW,30.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,21333.33333333,,,,,,,
Marker Ampt,8.25075781,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,126.23
2667,57.42
5333,51.30
8000,52.13
10667,52.89
13333,52.77
16000,53.37
18667,80.36
21333,115.24
24000,64.43
26667,53.78
29333,50.90
32000,53.09
34667,53.48
37333,54.49
40000,87.04
42667,102.94
45333,57.10
48000,51.89
50667,53.84
53333,53.50
56000,54.41
58667,52.57
61333,100.81
64000,97.26
66667,54.01
69333,52.48
72000,52.12
74667,51.79
77333,52.99
80000,61.45
82667,91.51
85333,95.93
88000,54.29
90667,52.68
93333,52.41
96000,53.20
98667,53.18
101333,59.71
104000,91.94
106667,76.44
109333,54.20
112000,53.19
114667,55.49
117333,53.26
120000,53.20
122667,85.88
125333,93.72
128000,81.98
130667,54.20
133333,52.92
136000,52.81
138667,52.46
141333,51.90
144000,69.99
146667,85.75
149333,56.40
152000,53.68
154667,53.82
157333,54.00
160000,53.96
162667,57.45
165333,84.26
168000,92.38
170667,55.16
173333,53.91
176000,52.55
178667,53.85
181333,51.99
184000,53.50
186667,69.02
189333,86.80
192000,56.84
194667,54.06
197333,53.07
200000,55.10
202667,51.78
205333,71.44
208000,81.92
210667,79.38
213333,52.59
216000,55.26
218667,55.45
221333,53.22
224000,56.71
226667,68.39
229333,75.14
232000,82.53
234667,55.66
237333,53.97
240000,51.74
242667,52.45
245333,52.84
248000,64.31
250667,75.41
253333,74.01
256000,53.62
258667,52.35
261333,55.02
264000,53.46
266667,62.73
269333,70.57
272000,73.67
274667,53.07
277333,54.18
280000,52.72
282667,52.37
285333,58.89
288000,66.81
290667,62.68
293333,78.10
296000,80.77
298667,52.32
301333,53.25
304000,51.95
306667,52.40
309333,55.26
312000,75.15
314667,66.84
317333,51.24
320000,50.84
322667,51.40
325333,54.13
328000,64.21
330667,73.44
333333,77.44
336000,75.99
338667,60.52
341333,51.32
344000,50.76
346667,52.00
349333,50.34
352000,59.10
354667,70.20
357333,69.22
360000,49.18
362667,50.70
365333,50.49
368000,49.91
370667,61.29
373333,73.42
376000,66.13
378667,49.85
381333,48.82
384000,50.81
386667,51.12
389333,48.09
392000,48.44
394667,53.57
397333,67.85
400000,69.66
402667,47.96
405333,49.64
408000,48.76
410667,50.85
413333,58.44
416000,65.35
418667,67.68
421333,49.15
424000,51.22
426667,48.73
429333,50.23
432000,54.76
434667,47.97
437333,56.46
440000,60.20
442667,71.84
445333,52.99
448000,48.70
450667,48.54
453333,49.57
456000,58.11
458667,66.19
461333,62.21
464000,49.71
466667,45.88
469333,46.90
472000,48.82
474667,56.94
477333,65.26
480000,64.59
482667,56.14
485333,67.80
488000,46.97
490667,47.77
493333,50.87
496000,49.30
498667,56.45
501333,58.30
504000,67.89
506667,47.66
509333,45.61
512000,45.44
514667,46.67
517333,55.09
520000,62.65
522667,60.92
525333,44.95
528000,44.23
530667,46.51
533333,51.60
536000,55.17
538667,68.60
541333,69.42
544000,56.01
546667,70.88
549333,51.90
552000,46.99
554667,43.95
557333,45.34
560000,48.36
562667,56.59
565333,62.70
568000,45.01
570667,43.15
573333,44.60
576000,49.41
578667,57.97
581333,69.92
584000,44.26
586667,42.88
589333,65.07
592000,47.56
594667,43.72
597333,43.15
600000,47.13
602667,50.81
605333,60.06
608000,66.39
610667,46.59
613333,43.60
616000,46.07
618667,53.28
621333,57.35
624000,58.65
626667,49.93
629333,42.28
632000,44.45
634667,46.89
637333,47.29
640000,40.59
642667,47.51
645333,51.71
648000,52.14
650667,61.22
653333,50.68
656000,40.83
658667,44.05
661333,49.96
664000,52.62
666667,57.67
669333,58.64
672000,40.32
674667,44.02
677333,47.56
680000,46.54
682667,53.15
685333,53.51
688000,50.16
690667,52.74
693333,57.06
696000,68.35
698667,49.00
701333,41.52
704000,45.38
706667,49.60
709333,63.74
712000,57.28
714667,40.76
717333,41.96
720000,44.79
722667,48.59
725333,54.01
728000,59.66
730667,47.61
733333,50.47
736000,54.41
738667,68.35
741333,42.70
744000,44.04
746667,51.15
749333,46.46
752000,48.55
754667,62.89
757333,58.54
760000,42.25
762667,45.40
765333,47.67
768000,48.21
770667,55.87
773333,48.48
776000,39.83
778667,42.30
781333,44.26
784000,49.03
786667,56.96
789333,57.17
792000,42.07
794667,44.93
797333,56.85
800000,54.88
802667,42.37
805333,40.64
808000,46.12
810667,46.15
813333,49.95
816000,49.10
818667,47.43
821333,41.64
824000,41.08
826667,43.65
829333,55.47
832000,59.75
834667,38.05
837333,40.67
840000,42.15
842667,52.24
845333,38.00
848000,38.25
850667,41.71
853333,42.92
856000,47.96
858667,53.85
861333,46.91
864000,37.95
866667,39.25
869333,40.26
872000,42.14
874667,46.00
877333,50.76
880000,42.99
882667,40.21
885333,43.11
888000,41.81
890667,43.20
893333,38.98
896000,38.60
898667,41.28
901333,49.56
904000,48.30
906667,38.63
909333,38.77
912000,38.04
914667,41.18
917333,48.85
920000,48.00
922667,37.95
925333,38.71
928000,38.79
930667,42.43
933333,47.87
936000,47.98
938667,43.00
941333,42.79
944000,41.59
946667,48.41
949333,52.95
952000,36.72
954667,38.76
957333,38.20
960000,39.82
962667,51.74
965333,38.20
968000,36.20
970667,37.62
973333,39.09
976000,42.17
978667,49.94
981333,39.67
984000,35.70
986667,38.39
989333,41.21
992000,49.66
994667,36.32
997333,37.81
1000000,38.04
1002667,40.35
1005333,39.46
1008000,48.34
1010667,35.69
1013333,37.83
1016000,38.88
1018667,39.95
1021333,40.62
1024000,37.08
1026667,36.90
1029333,35.88
1032000,39.37
1034667,38.31
1037333,37.00
1040000,36.43
1042667,36.07
1045333,38.47
1048000,38.38
1050667,42.58
1053333,35.15
1056000,34.38
1058667,39.33
1061333,37.42
1064000,40.38
1066667,42.83
1069333,38.03
1072000,34.61
1074667,37.47
1077333,38.48
1080000,38.33
1082667,38.03
1085333,35.26
1088000,37.02
1090667,37.98
1093333,37.03
1096000,36.12
1098667,35.90
1101333,35.13
1104000,36.10
1106667,37.18
1109333,42.98
1112000,39.37
1114667,35.44
1117333,34.81
1120000,37.95
1122667,39.69
1125333,41.65
1128000,39.25
1130667,37.06
1133333,35.09
1136000,38.04
1138667,37.63
1141333,44.89
1144000,35.47
1146667,34.62
1149333,36.01
1152000,36.81
1154667,34.92
1157333,34.66
1160000,36.27
1162667,34.98
1165333,35.14
1168000,40.69
1170667,38.10
1173333,34.68
1176000,35.28
1178667,37.55
1181333,38.00
1184000,42.45
1186667,35.46
1189333,34.21
1192000,35.36
1194667,36.04
1197333,36.59
1200000,45.73
1202667,40.02
1205333,33.42
1208000,35.15
1210667,36.29
1213333,39.60
1216000,37.55
1218667,33.91
1221333,35.69
1224000,35.34
1226667,34.45
1229333,35.27
1232000,33.92
1234667,34.76
1237333,33.88
1240000,38.09
1242667,38.86
1245333,43.27
1248000,33.59
1250667,35.14
1253333,33.90
1256000,37.28
1258667,39.22
1261333,41.60
1264000,34.15
1266667,34.95
1269333,34.93
1272000,35.24
1274667,37.92
1277333,33.09
1280000,35.76
1282667,34.63
1285333,35.49
1288000,37.97
1290667,33.59
1293333,34.88
1296000,33.31
1298667,34.49
1301333,38.26
1304000,37.82
1306667,33.49
1309333,33.37
1312000,35.12
1314667,38.19
1317333,35.84
1320000,36.88
1322667,35.15
1325333,33.44
1328000,35.08
1330667,36.44
1333333,37.24
1336000,33.24
1338667,34.92
1341333,34.52
1344000,35.51
1346667,36.10
1349333,35.17
1352000,33.13
1354667,34.45
1357333,35.77
1360000,38.84
1362667,38.59
1365333,35.49
1368000,31.89
