No.,FREQUENCY(MHz),Z,D,Cs
480,4.1498,7.77995,0.01239,0.00000000493
481,4.1822,7.71283,0.01252,0.000000004934
482,4.2149,7.6460,0.01269,0.000000004939
483,4.2478,7.57941,0.0129,0.000000004944
484,4.2810,7.51327,0.01305,0.000000004949
485,4.3144,7.44801,0.0132,0.000000004953
486,4.3481,7.38288,0.01333,0.000000004958
487,4.3820,7.31804,0.01352,0.000000004964
488,4.4163,7.25426,0.01367,0.000000004968
489,4.4507,7.19065,0.01395,0.000000004974
490,4.4855,7.12733,0.01409,0.000000004979
491,4.5205,7.06407,0.01425,0.000000004985
492,4.5558,7.00168,0.01442,0.00000000499
493,4.5914,6.94033,0.01452,0.000000004995
494,4.6272,6.87858,0.01469,0.000000005001
495,4.6634,6.8175,0.0149,0.000000005007
496,4.6998,6.75657,0.01515,0.000000005013
497,4.7365,6.69593,0.01537,0.000000005019
498,4.7735,6.63639,0.01548,0.000000005025
499,4.8107,6.57722,0.01574,0.000000005031
500,4.8483,6.51816,0.01586,0.000000005037
501,4.8862,6.45909,0.01606,0.000000005044
502,4.9243,6.40132,0.01628,0.00000000505
503,4.9628,6.34324,0.01644,0.000000005056
504,5.0015,6.28562,0.01669,0.000000005063
505,5.0406,6.22815,0.01694,0.00000000507
506,5.0799,6.17237,0.01714,0.000000005077
507,5.1196,6.11529,0.01739,0.000000005084
508,5.1596,6.05933,0.01766,0.000000005092
509,5.1999,6.00374,0.01781,0.000000005099
510,5.2405,5.94855,0.01806,0.000000005106
511,5.2814,5.89354,0.01835,0.000000005114
512,5.3226,5.83956,0.0185,0.000000005121
513,5.3642,5.78481,0.01867,0.00000000513
514,5.4061,5.73136,0.01899,0.000000005138
515,5.4483,5.67798,0.01923,0.000000005146
516,5.4908,5.62501,0.01942,0.000000005154
517,5.5337,5.57168,0.01974,0.000000005163
518,5.5769,5.51941,0.01994,0.000000005172
519,5.6204,5.4678,0.02019,0.00000000518
520,5.6643,5.4156,0.02046,0.000000005189
521,5.7086,5.36434,0.02075,0.000000005198
522,5.7531,5.31378,0.02109,0.000000005207
523,5.7981,5.26244,0.02131,0.000000005217
524,5.8433,5.21247,0.02161,0.000000005227
525,5.8890,5.16228,0.02184,0.000000005236
526,5.9349,5.11228,0.02222,0.000000005247
527,5.9813,5.06315,0.02239,0.000000005257
528,6.0280,5.01364,0.02264,0.000000005268
529,6.0750,4.9648,0.02305,0.000000005278
530,6.1225,4.91645,0.02337,0.000000005289
531,6.1703,4.86813,0.02377,0.0000000053
532,6.2185,4.8196,0.02397,0.000000005312
533,6.2670,4.77279,0.02431,0.000000005323
534,6.3160,4.72477,0.02466,0.000000005335
535,6.3653,4.67816,0.02502,0.000000005346
536,6.4150,4.63123,0.02532,0.000000005359
537,6.4651,4.58502,0.02568,0.000000005371
538,6.5155,4.53853,0.02603,0.000000005384
539,6.5664,4.49229,0.02634,0.000000005397
540,6.6177,4.44705,0.02678,0.00000000541
541,6.6694,4.40168,0.02714,0.000000005423
542,6.7214,4.35657,0.02752,0.000000005437
543,6.7739,4.31221,0.02791,0.000000005451
544,6.8268,4.26724,0.02835,0.000000005466
545,6.8801,4.22317,0.02868,0.00000000548
546,6.9339,4.17842,0.02911,0.000000005496
547,6.9880,4.13506,0.02969,0.00000000551
548,7.0426,4.09142,0.02997,0.000000005526
549,7.0975,4.04817,0.03043,0.000000005542
550,7.1530,4.00558,0.03094,0.000000005557
551,7.2088,3.96279,0.03146,0.000000005574
552,7.2651,3.92017,0.03193,0.000000005591
553,7.3218,3.87775,0.03235,0.000000005609
554,7.3790,3.83559,0.03278,0.000000005626
555,7.4366,3.79466,0.03342,0.000000005643
556,7.4947,3.75241,0.03382,0.000000005662
557,7.5532,3.71122,0.03437,0.000000005681
558,7.6122,3.66996,0.03495,0.000000005701
559,7.6716,3.62919,0.03535,0.00000000572
560,7.7315,3.58884,0.03597,0.00000000574
561,7.7919,3.54877,0.03659,0.00000000576
562,7.8527,3.50832,0.03706,0.000000005781
563,7.9141,3.46832,0.03765,0.000000005802
564,7.9759,3.42799,0.03812,0.000000005825
565,8.0381,3.38852,0.03874,0.000000005848
566,8.1009,3.34957,0.03941,0.00000000587
567,8.1642,3.31012,0.04019,0.000000005894
568,8.2279,3.27128,0.04087,0.000000005918
569,8.2921,3.23257,0.04154,0.000000005943
570,8.3569,3.19429,0.04211,0.000000005967
571,8.4221,3.15599,0.04281,0.000000005993
572,8.4879,3.11762,0.04366,0.00000000602
573,8.5542,3.08008,0.04448,0.000000006047
574,8.6210,3.04234,0.0451,0.000000006074
575,8.6883,3.00461,0.04586,0.000000006103
576,8.7561,2.96727,0.04663,0.000000006132
577,8.8245,2.93063,0.04733,0.000000006161
578,8.8934,2.89312,0.04818,0.000000006193
579,8.9629,2.85658,0.04897,0.000000006224
580,9.0328,2.81972,0.04978,0.000000006256
581,9.1034,2.78297,0.05068,0.00000000629
582,9.1745,2.74718,0.05164,0.000000006323
583,9.2461,2.71124,0.05254,0.000000006358
584,9.3183,2.67523,0.05353,0.000000006394
585,9.3910,2.63948,0.05451,0.00000000643
586,9.4644,2.60429,0.05544,0.000000006467
587,9.5383,2.56856,0.05654,0.000000006507
588,9.6128,2.53345,0.05757,0.000000006546
589,9.6878,2.49807,0.05855,0.000000006588
590,9.7635,2.46342,0.05968,0.000000006629
591,9.8397,2.42893,0.06073,0.000000006671
592,9.9165,2.39454,0.06172,0.000000006715
593,9.9940,2.35968,0.06295,0.000000006762
594,10.0720,2.32536,0.0641,0.000000006809
595,10.1510,2.29137,0.0655,0.000000006857
596,10.2300,2.25739,0.06671,0.000000006907
597,10.3100,2.22386,0.06821,0.000000006958
598,10.3900,2.19075,0.06949,0.000000007009
599,10.4710,2.15636,0.07084,0.000000007066
600,10.5530,2.12302,0.07219,0.000000007122
601,10.6360,2.09012,0.07373,0.000000007179
602,10.7190,2.05668,0.07532,0.00000000724
603,10.8020,2.02382,0.07681,0.000000007302
604,10.8870,1.99111,0.0786,0.000000007365
605,10.9720,1.95801,0.08012,0.000000007432
606,11.0570,1.92593,0.08187,0.000000007499
607,11.1440,1.89343,0.0835,0.000000007569
608,11.2310,1.8608,0.08542,0.000000007643
609,11.3180,1.82947,0.08752,0.000000007716
610,11.4070,1.7970,0.08976,0.000000007795
611,11.4960,1.76495,0.09153,0.000000007877
612,11.5860,1.73287,0.09365,0.000000007962
613,11.6760,1.70095,0.09624,0.000000008051
614,11.7670,1.67029,0.09819,0.000000008137
615,11.8590,1.63883,0.10069,0.000000008231
616,11.9520,1.6073,0.10292,0.000000008329
617,12.0450,1.57601,0.10537,0.00000000843
618,12.1390,1.54484,0.1084,0.000000008537
619,12.2340,1.51422,0.11107,0.000000008644
620,12.3290,1.48302,0.11382,0.000000008761
621,12.4260,1.45229,0.11699,0.000000008879
622,12.5230,1.42122,0.12041,0.000000009007
623,12.6200,1.39128,0.12343,0.000000009133
624,12.7190,1.36101,0.12702,0.000000009268
625,12.8180,1.3308,0.13046,0.000000009409
626,12.9180,1.30019,0.13438,0.000000009561
627,13.0190,1.26973,0.13829,0.00000000972
628,13.1210,1.23979,0.14188,0.000000009882
629,13.2230,1.21034,0.1469,0.000000010051
630,13.3270,1.17995,0.15116,0.000000010236
631,13.4310,1.1502,0.15612,0.000000010427
632,13.5360,1.12079,0.16115,0.000000010626
633,13.6410,1.09187,0.16644,0.000000010833
634,13.7480,1.06175,0.17172,0.000000011063
635,13.8550,1.03241,0.17784,0.000000011301
636,13.9630,1.00351,0.18418,0.00000001155
637,14.0720,0.97414,0.19042,0.000000011819
638,14.1820,0.94561,0.19764,0.000000012097
639,14.2930,0.91625,0.2055,0.000000012407
640,14.4050,0.88754,0.2133,0.000000012729
641,14.5170,0.85934,0.22242,0.00000001307
642,14.6300,0.83074,0.23077,0.000000013439
643,14.7450,0.8019,0.24102,0.000000013846
644,14.8600,0.77369,0.25199,0.000000014276
645,14.9760,0.74569,0.26346,0.000000014738
646,15.0930,0.71787,0.27586,0.000000015238
647,15.2110,0.68955,0.28879,0.000000015794
648,15.3290,0.66226,0.30419,0.000000016387
649,15.4490,0.63522,0.32016,0.000000017029
650,15.5700,0.60801,0.33862,0.00000001775
651,15.6910,0.58107,0.35751,0.000000018538
652,15.8140,0.55368,0.38036,0.000000019447
653,15.9370,0.52757,0.40498,0.000000020423
654,16.0620,0.50099,0.43324,0.000000021555
655,16.1870,0.4752,0.46448,0.000000022814
656,16.3140,0.45013,0.4997,0.000000024229
657,16.4410,0.42511,0.54216,0.000000025903
658,16.5690,0.40022,0.58981,0.000000027864
659,16.6990,0.37621,0.64681,0.000000030172
660,16.8290,0.35328,0.71329,0.000000032882
661,16.9600,0.33128,0.79609,0.000000036208
662,17.0930,0.31051,0.89677,0.000000040278
663,17.2260,0.2897,1.02878,0.000000045756
664,17.3610,0.27132,1.20334,0.000000052865
665,17.4960,0.25521,1.44099,0.000000062518
666,17.6330,0.24071,1.79445,0.00000007703
667,17.7710,0.22897,2.41049,0.000000102075
668,17.9090,0.22078,3.54752,0.000000148358
669,18.0490,0.21595,6.84966,0.000000282655
670,18.1900,0.21448,80.52736,0.00000328535
671,18.3320,0.21678,8.41135,-0.000000339235
672,18.4750,0.22337,4.00299,-0.000000159129
673,18.6200,0.23287,2.6362,-0.000000103492
674,18.7650,0.24548,1.97474,-0.000000076477
675,18.9120,0.26013,1.58621,-0.000000060662
676,19.0590,0.27797,1.32231,-0.000000049806
677,19.2080,0.29638,1.13568,-0.000000042305
678,19.3580,0.31631,0.9953,-0.000000036673
679,19.5090,0.33833,0.88834,-0.000000032252
680,19.6620,0.36054,0.80443,-0.000000028814
681,19.8150,0.38369,0.73476,-0.000000025977
682,19.9700,0.40715,0.67419,-0.000000023608
683,20.1260,0.4317,0.62506,-0.000000021602
684,20.2830,0.45646,0.58301,-0.000000019898
685,20.4410,0.48163,0.54768,-0.000000018432
686,20.6010,0.50786,0.51525,-0.000000017113
687,20.7620,0.53359,0.48723,-0.000000015981
688,20.9240,0.55956,0.46272,-0.000000014978
689,21.0870,0.58581,0.44037,-0.000000014078
690,21.2520,0.61227,0.42082,-0.00000001327
691,21.4180,0.63923,0.40181,-0.000000012528
692,21.5850,0.6650,0.38567,-0.000000011884
693,21.7540,0.69199,0.3707,-0.000000011276
694,21.9230,0.71879,0.35644,-0.000000010722
695,22.0950,0.74541,0.34338,-0.000000010217
696,22.2670,0.77342,0.33235,-0.000000009739
697,22.4410,0.80056,0.3213,-0.000000009305
698,22.6160,0.82858,0.3110,-0.000000008894
699,22.7930,0.85615,0.30236,-0.00000000852
700,22.9710,0.88423,0.29295,-0.000000008165
701,23.1500,0.9120,0.28451,-0.000000007837
702,23.3310,0.93984,0.27629,-0.00000000753
703,23.5130,0.96786,0.26921,-0.000000007243
704,23.6970,0.99646,0.26288,-0.000000006969
705,23.8820,1.02429,0.25646,-0.000000006717
706,24.0680,1.05248,0.25019,-0.000000006477
707,24.2560,1.08104,0.24506,-0.000000006249
708,24.4460,1.11022,0.23964,-0.00000000603
709,24.6360,1.13868,0.23509,-0.000000005828
710,24.8290,1.1680,0.2305,-0.000000005632
711,25.0230,1.19635,0.22575,-0.00000000545
712,25.2180,1.22624,0.22165,-0.000000005272
713,25.4150,1.25565,0.21786,-0.000000005104
714,25.6130,1.28523,0.21484,-0.000000004945
715,25.8130,1.3153,0.21148,-0.000000004791
716,26.0150,1.3478,0.20918,-0.000000004637
717,26.2180,1.37939,0.20636,-0.000000004494
718,26.4230,1.41011,0.20276,-0.000000004358
719,26.6290,1.44106,0.19913,-0.000000004229
720,26.8370,1.47298,0.1960,-0.000000004103
721,27.0470,1.50312,0.19239,-0.000000003987
