No.,FREQUENCY(MHz),Z,D,Cs
295,0.9843,5.16629,0.5969,0.000000036451
296,0.9920,5.14227,0.59827,0.000000036359
297,0.9997,5.11887,0.5997,0.000000036265
298,1.0075,5.09518,0.60162,0.000000036182
299,1.0154,5.07169,0.60263,0.000000036083
300,1.0233,5.0478,0.60402,0.000000035996
301,1.0313,5.02457,0.60563,0.000000035908
302,1.0393,5.0023,0.60697,0.000000035811
303,1.0475,4.97833,0.60829,0.000000035723
304,1.0556,4.9556,0.60971,0.000000035634
305,1.0639,4.93301,0.61112,0.00000003554
306,1.0722,4.90992,0.61229,0.000000035449
307,1.0806,4.88724,0.6137,0.000000035359
308,1.0890,4.86567,0.6151,0.000000035264
309,1.0975,4.84309,0.61631,0.000000035173
310,1.1061,4.82094,0.61763,0.00000003508
311,1.1147,4.79876,0.61894,0.000000034991
312,1.1234,4.77735,0.62016,0.000000034895
313,1.1322,4.75499,0.62129,0.000000034804
314,1.1410,4.7333,0.62256,0.000000034714
315,1.1499,4.71218,0.6237,0.000000034617
316,1.1589,4.69048,0.62492,0.000000034526
317,1.1680,4.66881,0.6261,0.000000034434
318,1.1771,4.64833,0.62729,0.000000034337
319,1.1863,4.62633,0.6285,0.000000034251
320,1.1955,4.60608,0.62969,0.000000034156
321,1.2049,4.58474,0.63056,0.00000003406
322,1.2143,4.56405,0.63185,0.000000033969
323,1.2238,4.54329,0.63316,0.00000003388
324,1.2333,4.52291,0.63401,0.000000033783
325,1.2429,4.50198,0.63499,0.000000033693
326,1.2526,4.48249,0.63622,0.000000033596
327,1.2624,4.46175,0.63713,0.000000033504
328,1.2723,4.44108,0.63823,0.000000033415
329,1.2822,4.4211,0.63912,0.00000003332
330,1.2922,4.40107,0.63993,0.000000033225
331,1.3023,4.38078,0.64109,0.000000033138
332,1.3125,4.36104,0.64204,0.000000033043
333,1.3227,4.34116,0.64305,0.000000032954
334,1.3331,4.32156,0.64387,0.000000032857
335,1.3435,4.30229,0.64489,0.000000032764
336,1.3540,4.28247,0.64567,0.000000032672
337,1.3645,4.26327,0.64656,0.00000003258
338,1.3752,4.24397,0.64735,0.000000032485
339,1.3859,4.22408,0.64807,0.000000032397
340,1.3968,4.20492,0.64904,0.000000032305
341,1.4077,4.18612,0.64998,0.000000032212
342,1.4187,4.16725,0.65068,0.000000032118
343,1.4297,4.14774,0.65131,0.00000003203
344,1.4409,4.12931,0.65226,0.000000031936
345,1.4521,4.11006,0.65293,0.000000031848
346,1.4635,4.09167,0.65363,0.000000031752
347,1.4749,4.07257,0.65439,0.000000031666
348,1.4864,4.05421,0.65513,0.000000031574
349,1.4980,4.03641,0.65609,0.000000031481
350,1.5097,4.01764,0.6566,0.00000003139
351,1.5215,3.99935,0.65728,0.000000031299
352,1.5334,3.98074,0.65769,0.000000031207
353,1.5454,3.9622,0.65848,0.000000031121
354,1.5574,3.94396,0.65896,0.000000031031
355,1.5696,3.92594,0.65962,0.000000030941
356,1.5819,3.90822,0.66032,0.000000030849
357,1.5942,3.89037,0.6607,0.000000030757
358,1.6067,3.87261,0.66148,0.000000030669
359,1.6192,3.85462,0.66192,0.00000003058
360,1.6318,3.83641,0.66252,0.000000030497
361,1.6446,3.81854,0.66297,0.000000030407
362,1.6574,3.8011,0.66331,0.000000030315
363,1.6704,3.78344,0.66399,0.000000030229
364,1.6834,3.76543,0.6646,0.000000030148
365,1.6966,3.74784,0.66493,0.000000030058
366,1.7098,3.73037,0.6655,0.000000029974
367,1.7232,3.71294,0.66571,0.000000029883
368,1.7366,3.69612,0.66612,0.000000029793
369,1.7502,3.67851,0.66659,0.00000002971
370,1.7638,3.66185,0.66712,0.000000029622
371,1.7776,3.64381,0.66748,0.000000029542
372,1.7915,3.62708,0.66787,0.000000029454
373,1.8055,3.61012,0.66846,0.000000029371
374,1.8196,3.59296,0.66834,0.000000029281
375,1.8338,3.5760,0.66876,0.000000029197
376,1.8481,3.55875,0.66922,0.000000029118
377,1.8625,3.54194,0.66942,0.000000029033
378,1.8771,3.52521,0.66978,0.000000028948
379,1.8917,3.50847,0.67012,0.000000028867
380,1.9065,3.4915,0.67047,0.000000028786
381,1.9214,3.47445,0.67062,0.000000028705
382,1.9364,3.4578,0.67087,0.000000028623
383,1.9515,3.44095,0.67109,0.000000028544
384,1.9667,3.42489,0.67128,0.000000028459
385,1.9821,3.40813,0.67162,0.000000028381
386,1.9976,3.39165,0.67169,0.000000028298
387,2.0132,3.37502,0.67204,0.000000028222
388,2.0289,3.35882,0.6721,0.000000028139
389,2.0447,3.34206,0.67248,0.000000028067
390,2.0607,3.32562,0.6726,0.000000027988
391,2.0768,3.30981,0.6727,0.000000027905
392,2.0930,3.29313,0.67299,0.000000027833
393,2.1094,3.27697,0.67296,0.000000027753
394,2.1258,3.26054,0.67298,0.000000027678
395,2.1424,3.2445,0.67337,0.000000027604
396,2.1592,3.2284,0.67334,0.000000027525
397,2.1760,3.21208,0.67343,0.000000027453
398,2.1930,3.19661,0.67388,0.000000027377
399,2.2101,3.18001,0.67374,0.000000027306
400,2.2274,3.16424,0.67385,0.00000002723
401,2.2448,3.14854,0.67399,0.000000027155
402,2.2623,3.13323,0.67416,0.000000027079
403,2.2800,3.11649,0.67417,0.000000027013
404,2.2978,3.10106,0.67399,0.000000026935
405,2.3157,3.08547,0.67427,0.000000026866
406,2.3338,3.06924,0.67441,0.0000000268
407,2.3520,3.05334,0.67447,0.000000026732
408,2.3704,3.03764,0.67433,0.000000026659
409,2.3889,3.02195,0.6745,0.000000026593
410,2.4076,3.00662,0.67419,0.000000026517
411,2.4263,2.99081,0.67457,0.000000026456
412,2.4453,2.97507,0.67465,0.00000002639
413,2.4644,2.95943,0.67451,0.000000026323
414,2.4836,2.94442,0.67472,0.000000026255
415,2.5030,2.92881,0.67447,0.000000026187
416,2.5226,2.91316,0.67457,0.000000026124
417,2.5423,2.89776,0.6747,0.000000026061
418,2.5621,2.88236,0.67444,0.000000025995
419,2.5821,2.86712,0.67454,0.000000025932
420,2.6023,2.85204,0.67475,0.000000025869
421,2.6226,2.83685,0.6748,0.000000025807
422,2.6431,2.82134,0.67471,0.000000025747
423,2.6637,2.80617,0.67487,0.000000025687
424,2.6845,2.79081,0.67498,0.00000002563
425,2.7055,2.77569,0.67473,0.000000025567
426,2.7266,2.7609,0.67462,0.000000025503
427,2.7479,2.74567,0.67476,0.000000025448
428,2.7694,2.73052,0.6749,0.000000025392
429,2.7910,2.71482,0.67472,0.000000025339
430,2.8128,2.70036,0.67487,0.000000025279
431,2.8347,2.68479,0.67507,0.000000025231
432,2.8569,2.6701,0.67492,0.000000025171
433,2.8792,2.65484,0.67486,0.000000025119
434,2.9017,2.63986,0.67463,0.000000025063
435,2.9243,2.62535,0.6748,0.000000025009
436,2.9471,2.61067,0.67494,0.000000024957
437,2.9702,2.59533,0.67477,0.000000024907
438,2.9934,2.58091,0.67498,0.000000024854
439,3.0167,2.56558,0.67513,0.000000024812
440,3.0403,2.55068,0.67499,0.000000024761
441,3.0640,2.53605,0.67535,0.000000024716
442,3.0879,2.52158,0.6751,0.000000024662
443,3.1121,2.50703,0.67509,0.000000024612
444,3.1364,2.49242,0.67541,0.000000024568
445,3.1608,2.47766,0.6757,0.000000024527
446,3.1855,2.4632,0.67558,0.000000024479
447,3.2104,2.44864,0.6757,0.000000024434
448,3.2355,2.43353,0.6756,0.000000024394
449,3.2607,2.41923,0.67591,0.000000024352
