No.,FREQUENCY(MHz),Z,D,Cs
263,0.7674,47.7153,0.01472,0.000000004347
264,0.7734,47.3481,0.0148,0.000000004347
265,0.7794,46.9826,0.01484,0.000000004347
266,0.7855,46.6216,0.01491,0.000000004346
267,0.7917,46.2616,0.01494,0.000000004346
268,0.7978,45.9062,0.01498,0.000000004346
269,0.8041,45.5516,0.01506,0.000000004346
270,0.8103,45.2003,0.01512,0.000000004346
271,0.8167,44.8522,0.01517,0.000000004346
272,0.8230,44.5055,0.01523,0.000000004345
273,0.8295,44.1637,0.01529,0.000000004345
274,0.8359,43.8228,0.01533,0.000000004345
275,0.8425,43.4843,0.01537,0.000000004345
276,0.8491,43.1502,0.01544,0.000000004345
277,0.8557,42.8169,0.01549,0.000000004345
278,0.8624,42.4819,0.01555,0.000000004345
279,0.8691,42.1580,0.01556,0.000000004344
280,0.8759,41.8323,0.01563,0.000000004344
281,0.8827,41.5089,0.0157,0.000000004344
282,0.8896,41.1903,0.01577,0.000000004344
283,0.8966,40.8708,0.01581,0.000000004344
284,0.9036,40.5602,0.01596,0.000000004343
285,0.9106,40.2373,0.01613,0.000000004344
286,0.9177,39.9211,0.01606,0.000000004345
287,0.9249,39.6271,0.01607,0.000000004343
288,0.9321,39.3200,0.01607,0.000000004343
289,0.9394,39.0154,0.01615,0.000000004343
290,0.9467,38.7166,0.01622,0.000000004343
291,0.9541,38.4167,0.01629,0.000000004343
292,0.9616,38.1205,0.01635,0.000000004342
293,0.9691,37.8259,0.01639,0.000000004342
294,0.9766,37.5346,0.01647,0.000000004342
295,0.9843,37.2446,0.01653,0.000000004342
296,0.9920,36.9570,0.0166,0.000000004342
297,0.9997,36.6720,0.01666,0.000000004342
298,1.0075,36.3902,0.01704,0.000000004342
299,1.0154,36.1079,0.01675,0.000000004342
300,1.0233,35.8308,0.01682,0.000000004341
301,1.0313,35.5536,0.01691,0.000000004341
302,1.0393,35.2802,0.01694,0.000000004341
303,1.0475,35.0044,0.01703,0.000000004341
304,1.0556,34.7375,0.01709,0.000000004341
305,1.0639,34.4673,0.01718,0.000000004341
306,1.0722,34.2000,0.01724,0.000000004341
