No.,FREQUENCY(MHz),Z,D,PH
786,44.8410,3.67263,0.10161,84.1980
787,45.1920,3.71084,0.10106,84.2290
788,45.5440,3.74899,0.10081,84.2440
789,45.9000,3.78901,0.10032,84.2710
790,46.2580,3.82734,0.09987,84.2970
791,46.6200,3.8676,0.09909,84.3410
792,46.9840,3.90782,0.09844,84.3780
793,47.3500,3.94841,0.09786,84.4110
794,47.7200,3.98933,0.09715,84.4510
795,48.0930,4.0306,0.09643,84.4920
796,48.4680,4.0717,0.0959,84.5220
797,48.8470,4.11312,0.09528,84.5570
798,49.2280,4.1547,0.09486,84.5810
799,49.6130,4.19646,0.09439,84.6080
800,50.0000,4.23796,0.09383,84.6390
