No.,FREQUENCY(MHz),Z,D,Cs
451,3.3119,304.6990,0.01317,-0.000000000158
452,3.3377,307.1100,0.01315,-0.000000000155
453,3.3638,309.5170,0.01325,-0.000000000153
454,3.3900,311.9470,0.0133,-0.000000000151
455,3.4165,314.4120,0.01327,-0.000000000148
456,3.4432,316.8510,0.01329,-0.000000000146
457,3.4701,319.3810,0.01333,-0.000000000144
458,3.4972,321.8420,0.01336,-0.000000000141
459,3.5245,324.3880,0.01329,-0.000000000139
460,3.5520,326.9590,0.01339,-0.000000000137
461,3.5797,329.5170,0.01347,-0.000000000135
462,3.6077,332.1020,0.01342,-0.000000000133
463,3.6358,334.6940,0.01351,-0.000000000131
464,3.6642,337.3200,0.01355,-0.000000000129
465,3.6929,339.9820,0.01352,-0.000000000127
466,3.7217,342.6500,0.01364,-0.000000000125
467,3.7507,345.3400,0.0137,-0.000000000123
468,3.7800,348.0780,0.01365,-0.000000000121
469,3.8095,350.7710,0.01372,-0.000000000119
470,3.8393,353.5710,0.01367,-0.000000000117
471,3.8693,356.3280,0.01372,-0.000000000115
472,3.8995,359.1040,0.01378,-0.000000000114
473,3.9299,361.9540,0.01374,-0.000000000112
474,3.9606,364.7990,0.01375,-0.00000000011
475,3.9915,367.6620,0.01382,-0.000000000108
476,4.0227,370.5620,0.01385,-0.000000000107
477,4.0541,373.4530,0.01383,-0.000000000105
478,4.0858,376.4570,0.01395,-0.000000000103
479,4.1177,379.3770,0.01383,-0.000000000102
480,4.1498,382.3760,0.01398,-0.0000000001
481,4.1822,385.3990,0.01401,-0.000000000099
482,4.2149,388.4090,0.01401,-0.000000000097
483,4.2478,391.4700,0.01417,-0.000000000096
484,4.2810,394.5770,0.01411,-0.000000000094
485,4.3144,397.6730,0.01404,-0.000000000093
486,4.3481,400.7930,0.0142,-0.000000000091
487,4.3820,403.9610,0.01422,-0.00000000009
488,4.4163,407.1370,0.01424,-0.000000000089
489,4.4507,410.3430,0.01422,-0.000000000087
490,4.4855,413.5640,0.01425,-0.000000000086
491,4.5205,416.8830,0.01422,-0.000000000084
