No.,FREQUENCY(MHz),Z,D,PH
139,0.2925,14.4879,0.18739,-79.3870
140,0.2948,14.3866,0.1881,-79.3470
141,0.2971,14.2864,0.18879,-79.3090
142,0.2994,14.1868,0.18943,-79.2740
143,0.3018,14.0885,0.19009,-79.2370
144,0.3041,13.9885,0.19079,-79.1980
145,0.3065,13.8917,0.19152,-79.1580
146,0.3089,13.7936,0.19223,-79.1190
147,0.3113,13.6976,0.19299,-79.0770
148,0.3137,13.6016,0.19365,-79.0400
149,0.3162,13.5073,0.19435,-79.0020
150,0.3187,13.4126,0.19506,-78.9630
151,0.3211,13.3197,0.19585,-78.9190
152,0.3236,13.2275,0.19661,-78.8770
153,0.3262,13.1357,0.1973,-78.8390
154,0.3287,13.0439,0.1980,-78.8000
155,0.3313,12.9528,0.19878,-78.7570
156,0.3339,12.8637,0.19936,-78.7250
157,0.3365,12.7747,0.20013,-78.6830
158,0.3391,12.6853,0.20088,-78.6420
159,0.3418,12.5966,0.20154,-78.6050
160,0.3444,12.5092,0.20233,-78.5620
161,0.3471,12.4224,0.2031,-78.5200
162,0.3498,12.3363,0.20386,-78.4770
163,0.3526,12.2501,0.20464,-78.4350
164,0.3553,12.1662,0.2053,-78.3980
165,0.3581,12.0807,0.20613,-78.3530
166,0.3609,11.9983,0.20688,-78.3110
167,0.3637,11.9153,0.20763,-78.2710
168,0.3665,11.8325,0.20835,-78.2310
169,0.3694,11.7501,0.20909,-78.1900
170,0.3723,11.6684,0.20995,-78.1430
171,0.3752,11.5871,0.21067,-78.1040
172,0.3781,11.5072,0.21145,-78.0610
173,0.3811,11.4276,0.21224,-78.0170
174,0.3841,11.3490,0.21295,-77.9780
175,0.3870,11.2704,0.21378,-77.9330
176,0.3901,11.1920,0.21459,-77.8890
177,0.3931,11.1147,0.21536,-77.8460
178,0.3962,11.0376,0.21624,-77.7980
179,0.3993,10.9618,0.21696,-77.7590
180,0.4024,10.8861,0.21776,-77.7150
181,0.4055,10.8116,0.21854,-77.6730
182,0.4087,10.7367,0.21936,-77.6270
183,0.4119,10.6629,0.22015,-77.5840
184,0.4151,10.5890,0.22101,-77.5370
185,0.4184,10.5157,0.22178,-77.4950
186,0.4216,10.4433,0.2227,-77.4450
187,0.4249,10.3710,0.22354,-77.3990
188,0.4282,10.2993,0.22432,-77.3570
189,0.4316,10.2292,0.22521,-77.3080
190,0.4349,10.1588,0.22597,-77.2670
191,0.4383,10.0884,0.22679,-77.2220
192,0.4418,10.0193,0.22766,-77.1750
193,0.4452,9.95061,0.22847,-77.1300
194,0.4487,9.88231,0.22938,-77.0810
195,0.4522,9.8142,0.2302,-77.0360
196,0.4557,9.74624,0.23106,-76.9900
197,0.4593,9.68029,0.23192,-76.9430
198,0.4629,9.61365,0.23275,-76.8970
199,0.4665,9.54775,0.23363,-76.8500
200,0.4701,9.48226,0.23452,-76.8010
201,0.4738,9.41681,0.23544,-76.7510
202,0.4775,9.35261,0.23631,-76.7040
203,0.4812,9.28857,0.23717,-76.6580
204,0.4850,9.22438,0.23805,-76.6100
205,0.4888,9.1618,0.23889,-76.5650
206,0.4926,9.0990,0.23984,-76.5130
207,0.4964,9.03701,0.24068,-76.4680
208,0.5003,8.9747,0.24161,-76.4170
209,0.5042,8.91409,0.24255,-76.3660
210,0.5082,8.85254,0.24355,-76.3120
211,0.5121,8.79221,0.24438,-76.2670
212,0.5161,8.73276,0.24525,-76.2200
213,0.5201,8.67238,0.24634,-76.1610
214,0.5242,8.61378,0.24719,-76.1150
215,0.5283,8.55494,0.24813,-76.0640
216,0.5324,8.49737,0.24902,-76.0160
217,0.5366,8.43912,0.24997,-75.9650
218,0.5408,8.38172,0.25092,-75.9140
219,0.5450,8.32402,0.25183,-75.8650
220,0.5493,8.26767,0.25282,-75.8120
221,0.5535,8.21151,0.25376,-75.7610
222,0.5579,8.15541,0.2547,-75.7110
223,0.5622,8.09987,0.2557,-75.6570
224,0.5666,8.04481,0.25665,-75.6060
225,0.5710,7.99004,0.25766,-75.5510
226,0.5755,7.93704,0.25858,-75.5020
227,0.5800,7.8820,0.25962,-75.4460
228,0.5845,7.82842,0.26059,-75.3940
229,0.5891,7.77575,0.26158,-75.3410
230,0.5937,7.7231,0.26251,-75.2910
231,0.5983,7.67062,0.26358,-75.2340
232,0.6030,7.61869,0.26459,-75.1800
233,0.6077,7.56769,0.26558,-75.1270
234,0.6124,7.5162,0.26662,-75.0710
235,0.6172,7.46478,0.26758,-75.0200
236,0.6220,7.41467,0.26863,-74.9640
237,0.6269,7.36437,0.26967,-74.9080
238,0.6318,7.31399,0.27064,-74.8560
239,0.6367,7.26509,0.27173,-74.7980
240,0.6417,7.21594,0.27276,-74.7430
