No.,FREQUENCY(MHz),Z,D,Cs
1,0.1000,137.4500,0.04208,-0.000000011589
2,0.1008,138.5040,0.04193,-0.000000011412
3,0.1016,139.5800,0.04159,-0.000000011236
4,0.1024,140.6610,0.0414,-0.000000011063
5,0.1032,141.7650,0.04117,-0.000000010892
6,0.1040,142.8630,0.04084,-0.000000010724
7,0.1048,143.9680,0.04065,-0.000000010559
8,0.1056,145.0950,0.04036,-0.000000010396
9,0.1064,146.2230,0.04014,-0.000000010236
10,0.1073,147.3490,0.03992,-0.000000010079
11,0.1081,148.4960,0.03962,-0.000000009923
12,0.1089,149.6470,0.03933,-0.000000009771
13,0.1098,150.8170,0.03908,-0.00000000962
14,0.1106,151.9890,0.03881,-0.000000009472
15,0.1115,153.1600,0.03862,-0.000000009327
16,0.1124,154.3620,0.03823,-0.000000009182
17,0.1133,155.5720,0.03818,-0.00000000904
18,0.1141,156.7860,0.03779,-0.0000000089
19,0.1150,157.9970,0.03747,-0.000000008763
20,0.1159,159.2290,0.0372,-0.000000008628
21,0.1168,160.4630,0.03709,-0.000000008496
22,0.1177,161.7220,0.03667,-0.000000008364
23,0.1187,162.9810,0.03649,-0.000000008235
24,0.1196,164.2480,0.0362,-0.000000008108
25,0.1205,165.5340,0.03593,-0.000000007983
26,0.1215,166.8340,0.03579,-0.000000007859
27,0.1224,168.1100,0.03545,-0.000000007739
28,0.1234,169.4360,0.0352,-0.000000007619
29,0.1243,170.7490,0.03499,-0.000000007502
30,0.1253,172.0860,0.03472,-0.000000007386
31,0.1263,173.4270,0.03445,-0.000000007272
32,0.1273,174.7870,0.03427,-0.000000007159
33,0.1283,176.1330,0.03408,-0.000000007049
34,0.1293,177.5160,0.03381,-0.00000000694
35,0.1303,178.9120,0.03356,-0.000000006833
36,0.1313,180.2950,0.03337,-0.000000006727
37,0.1323,181.7040,0.03306,-0.000000006624
38,0.1334,183.1390,0.03291,-0.000000006521
39,0.1344,184.5480,0.03259,-0.000000006421
40,0.1354,185.9990,0.03239,-0.000000006321
41,0.1365,187.4480,0.03215,-0.000000006223
42,0.1376,188.9040,0.03195,-0.000000006128
43,0.1386,190.3770,0.0318,-0.000000006033
44,0.1397,191.8680,0.03163,-0.00000000594
45,0.1408,193.3540,0.0313,-0.000000005849
46,0.1419,194.8610,0.03116,-0.000000005758
47,0.1430,196.3960,0.03106,-0.000000005669
48,0.1441,197.9020,0.0308,-0.000000005582
49,0.1453,199.4670,0.03064,-0.000000005496
50,0.1464,201.0050,0.03051,-0.000000005411
51,0.1475,202.5970,0.03023,-0.000000005327
52,0.1487,204.1720,0.02999,-0.000000005245
53,0.1499,205.7680,0.02983,-0.000000005164
54,0.1510,207.3550,0.02973,-0.000000005085
55,0.1522,208.9950,0.02951,-0.000000005006
56,0.1534,210.6150,0.02926,-0.000000004929
57,0.1546,212.2420,0.02908,-0.000000004853
58,0.1558,213.8940,0.02898,-0.000000004778
59,0.1570,215.5620,0.02871,-0.000000004704
60,0.1582,217.2560,0.02856,-0.000000004632
61,0.1595,218.9450,0.0284,-0.00000000456
62,0.1607,220.6450,0.02824,-0.00000000449
63,0.1620,222.3590,0.02809,-0.000000004421
64,0.1632,224.1060,0.0278,-0.000000004352
65,0.1645,225.8500,0.02765,-0.000000004285
66,0.1658,227.6020,0.02762,-0.000000004219
67,0.1671,229.3800,0.02737,-0.000000004154
68,0.1684,231.1580,0.02711,-0.00000000409
69,0.1697,232.9650,0.02697,-0.000000004027
70,0.1710,234.7740,0.02692,-0.000000003965
71,0.1724,236.6090,0.02673,-0.000000003904
72,0.1737,238.4570,0.02656,-0.000000003844
73,0.1751,240.3350,0.02631,-0.000000003784
74,0.1764,242.2020,0.02633,-0.000000003726
75,0.1778,244.0610,0.02616,-0.000000003669
76,0.1792,245.9560,0.02595,-0.000000003612
77,0.1806,247.8980,0.0259,-0.000000003556
78,0.1820,249.8060,0.02565,-0.000000003502
79,0.1834,251.7460,0.02551,-0.000000003448
80,0.1849,253.7350,0.02523,-0.000000003394
81,0.1863,255.6960,0.02523,-0.000000003342
82,0.1878,257.6820,0.02504,-0.000000003291
83,0.1892,259.7060,0.02487,-0.00000000324
84,0.1907,261.7540,0.02464,-0.000000003189
85,0.1922,263.7850,0.02454,-0.00000000314
86,0.1937,265.8340,0.02446,-0.000000003092
87,0.1952,267.8910,0.02432,-0.000000003044
88,0.1967,269.9580,0.02427,-0.000000002998
89,0.1983,272.0910,0.02413,-0.000000002951
90,0.1998,274.2110,0.02397,-0.000000002906
91,0.2014,276.3390,0.02376,-0.000000002861
92,0.2030,278.4650,0.0237,-0.000000002817
93,0.2045,280.6440,0.02357,-0.000000002773
94,0.2061,282.8160,0.02338,-0.000000002731
95,0.2077,285.0210,0.02325,-0.000000002689
96,0.2094,287.2780,0.02318,-0.000000002647
97,0.2110,289.5250,0.02297,-0.000000002606
98,0.2127,291.7600,0.02289,-0.000000002566
99,0.2143,294.0300,0.0229,-0.000000002526
100,0.2160,296.3040,0.02264,-0.000000002488
101,0.2177,298.6720,0.02254,-0.000000002449
102,0.2194,300.9520,0.02244,-0.000000002411
103,0.2211,303.2620,0.02233,-0.000000002374
104,0.2228,305.6470,0.02222,-0.000000002338
105,0.2246,308.0330,0.02205,-0.000000002302
106,0.2263,310.4290,0.02197,-0.000000002266
107,0.2281,312.8230,0.02188,-0.000000002231
108,0.2299,315.2830,0.02177,-0.000000002197
109,0.2316,317.7280,0.02166,-0.000000002163
110,0.2335,320.1930,0.02161,-0.00000000213
111,0.2353,322.7240,0.02134,-0.000000002097
112,0.2371,325.2590,0.02133,-0.000000002064
113,0.2390,327.7870,0.02112,-0.000000002032
114,0.2408,330.3760,0.02112,-0.000000002001
115,0.2427,332.9480,0.02103,-0.00000000197
116,0.2446,335.4980,0.02089,-0.00000000194
117,0.2465,338.0920,0.02078,-0.00000000191
118,0.2484,340.7490,0.02062,-0.00000000188
119,0.2504,343.3910,0.02053,-0.000000001852
120,0.2523,346.0830,0.02039,-0.000000001823
121,0.2543,348.7810,0.02033,-0.000000001795
122,0.2563,351.4900,0.02023,-0.000000001767
123,0.2583,354.2290,0.02012,-0.00000000174
124,0.2603,356.9960,0.02008,-0.000000001713
125,0.2623,359.7580,0.01993,-0.000000001687
126,0.2644,362.5910,0.01973,-0.000000001661
127,0.2665,365.3790,0.01963,-0.000000001635
128,0.2685,368.2260,0.01951,-0.00000000161
129,0.2706,371.1430,0.0195,-0.000000001585
130,0.2727,374.0120,0.01928,-0.000000001561
131,0.2749,376.9300,0.01921,-0.000000001536
132,0.2770,379.9000,0.01908,-0.000000001513
133,0.2792,382.8950,0.01904,-0.000000001489
134,0.2814,385.8230,0.01893,-0.000000001466
135,0.2836,388.8550,0.01886,-0.000000001444
136,0.2858,391.8710,0.01871,-0.000000001421
137,0.2880,394.9180,0.01868,-0.0000000014
