Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.066667e+08,-1.738281e+00,-1.738281e+00,-2.080078e+00
1.080000e+08,-1.743164e+00,-1.743164e+00,-2.089844e+00
1.093333e+08,-1.743164e+00,-1.743164e+00,-2.109375e+00
1.106667e+08,-1.752930e+00,-1.752930e+00,-2.148438e+00
1.120000e+08,-1.738281e+00,-1.752930e+00,-2.143555e+00
1.133333e+08,-1.762695e+00,-1.762695e+00,-2.187500e+00
1.146667e+08,-1.738281e+00,-1.748047e+00,-2.182617e+00
1.160000e+08,-1.723633e+00,-1.723633e+00,-2.177734e+00
1.173333e+08,-1.713867e+00,-1.738281e+00,-2.207031e+00
1.186667e+08,-1.743164e+00,-1.743164e+00,-2.236328e+00
1.200000e+08,-1.723633e+00,-1.723633e+00,-2.246094e+00
1.213333e+08,-1.738281e+00,-1.738281e+00,-2.280273e+00
1.226667e+08,-1.748047e+00,-1.748047e+00,-2.299805e+00
1.240000e+08,-1.733398e+00,-1.738281e+00,-2.294922e+00
1.253333e+08,-1.728516e+00,-1.728516e+00,-2.285156e+00
1.266667e+08,-1.718750e+00,-1.728516e+00,-2.319336e+00
1.280000e+08,-1.743164e+00,-1.743164e+00,-2.338867e+00
1.293333e+08,-1.704102e+00,-1.704102e+00,-2.314453e+00
1.306667e+08,-1.684570e+00,-1.684570e+00,-2.319336e+00
1.320000e+08,-1.674805e+00,-1.674805e+00,-2.314453e+00
1.333333e+08,-1.635742e+00,-1.635742e+00,-2.324219e+00
1.346667e+08,-1.650391e+00,-1.669922e+00,-2.333984e+00
1.360000e+08,-1.601562e+00,-1.625977e+00,-2.309570e+00
1.373333e+08,-1.606445e+00,-1.606445e+00,-2.309570e+00
1.386667e+08,-1.582031e+00,-1.582031e+00,-2.299805e+00
1.400000e+08,-1.572266e+00,-1.572266e+00,-2.319336e+00
1.413333e+08,-1.533203e+00,-1.542969e+00,-2.299805e+00
1.426667e+08,-1.542969e+00,-1.542969e+00,-2.290039e+00
1.440000e+08,-1.538086e+00,-1.552734e+00,-2.290039e+00
1.453333e+08,-1.533203e+00,-1.533203e+00,-2.309570e+00
1.466667e+08,-1.523438e+00,-1.523438e+00,-2.304688e+00
