Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
8.266667e+07,-2.641602e+00,-4.663086e+00,-6.264648e+00,-7.695312e+00
8.400000e+07,-2.622070e+00,-4.658203e+00,-6.293945e+00,-7.656250e+00
8.533334e+07,-2.622070e+00,-4.628906e+00,-6.269531e+00,-7.656250e+00
8.666667e+07,-2.622070e+00,-4.624023e+00,-6.269531e+00,-7.666016e+00
8.800000e+07,-2.597656e+00,-4.604492e+00,-6.264648e+00,-7.636719e+00
8.933334e+07,-2.626953e+00,-4.638672e+00,-6.298828e+00,-7.666016e+00
9.066666e+07,-2.636719e+00,-4.677734e+00,-6.264648e+00,-7.670898e+00
9.200001e+07,-2.641602e+00,-4.653320e+00,-6.284180e+00,-7.705078e+00
9.333334e+07,-2.636719e+00,-4.682617e+00,-6.303711e+00,-7.700195e+00
9.466666e+07,-2.646484e+00,-4.672852e+00,-6.328125e+00,-7.719727e+00
9.599999e+07,-2.651367e+00,-4.711914e+00,-6.347656e+00,-7.749023e+00
9.733334e+07,-2.685547e+00,-4.741211e+00,-6.381836e+00,-7.817383e+00
9.866666e+07,-2.705078e+00,-4.770508e+00,-6.420898e+00,-7.812500e+00
9.999999e+07,-2.709961e+00,-4.765625e+00,-6.430664e+00,-7.846680e+00
1.013333e+08,-2.719727e+00,-4.799805e+00,-6.455078e+00,-7.880859e+00
1.026667e+08,-2.734375e+00,-4.819336e+00,-6.474609e+00,-7.880859e+00
1.040000e+08,-2.749023e+00,-4.833984e+00,-6.513672e+00,-7.944336e+00
1.053333e+08,-2.758789e+00,-4.833984e+00,-6.523438e+00,-7.934570e+00
1.066667e+08,-2.768555e+00,-4.882812e+00,-6.577148e+00,-7.998047e+00
1.080000e+08,-2.783203e+00,-4.912109e+00,-6.586914e+00,-8.032227e+00
1.093333e+08,-2.792969e+00,-4.921875e+00,-6.630859e+00,-8.032227e+00
1.106667e+08,-2.792969e+00,-4.941406e+00,-6.606445e+00,-8.056641e+00
1.120000e+08,-2.822266e+00,-4.931641e+00,-6.684570e+00,-8.090820e+00
1.133333e+08,-2.822266e+00,-4.960938e+00,-6.674805e+00,-8.120117e+00
1.146667e+08,-2.841797e+00,-4.980469e+00,-6.728516e+00,-8.159180e+00
1.160000e+08,-2.856445e+00,-4.995117e+00,-6.708984e+00,-8.183594e+00
1.173333e+08,-2.827148e+00,-5.014648e+00,-6.743164e+00,-8.188477e+00
1.186667e+08,-2.856445e+00,-5.019531e+00,-6.777344e+00,-8.193359e+00
1.200000e+08,-2.880859e+00,-5.043945e+00,-6.762695e+00,-8.208008e+00
1.213333e+08,-2.866211e+00,-5.034180e+00,-6.767578e+00,-8.203125e+00
1.226667e+08,-2.895508e+00,-5.048828e+00,-6.801758e+00,-8.266602e+00
1.240000e+08,-2.875977e+00,-5.063477e+00,-6.801758e+00,-8.237305e+00
1.253333e+08,-2.875977e+00,-5.043945e+00,-6.757812e+00,-8.242188e+00
1.266667e+08,-2.880859e+00,-5.048828e+00,-6.796875e+00,-8.247070e+00
1.280000e+08,-2.880859e+00,-5.068359e+00,-6.816406e+00,-8.266602e+00
1.293333e+08,-2.875977e+00,-5.043945e+00,-6.811523e+00,-8.222656e+00
1.306667e+08,-2.866211e+00,-5.039062e+00,-6.757812e+00,-8.208008e+00
1.320000e+08,-2.866211e+00,-5.053711e+00,-6.787109e+00,-8.227539e+00
1.333333e+08,-2.851562e+00,-5.024414e+00,-6.787109e+00,-8.178711e+00
1.346667e+08,-2.871094e+00,-5.019531e+00,-6.801758e+00,-8.227539e+00
1.360000e+08,-2.861328e+00,-4.990234e+00,-6.762695e+00,-8.198242e+00
1.373333e+08,-2.880859e+00,-5.009766e+00,-6.762695e+00,-8.203125e+00
1.386667e+08,-2.856445e+00,-5.019531e+00,-6.767578e+00,-8.188477e+00
1.400000e+08,-2.866211e+00,-4.995117e+00,-6.728516e+00,-8.144531e+00
1.413333e+08,-2.880859e+00,-4.995117e+00,-6.694336e+00,-8.144531e+00
1.426667e+08,-2.846680e+00,-4.985352e+00,-6.704102e+00,-8.129883e+00
1.440000e+08,-2.866211e+00,-4.990234e+00,-6.694336e+00,-8.129883e+00
1.453333e+08,-2.856445e+00,-4.956055e+00,-6.650391e+00,-8.110352e+00
1.466667e+08,-2.856445e+00,-4.956055e+00,-6.665039e+00,-8.125000e+00
1.480000e+08,-2.851562e+00,-4.946289e+00,-6.650391e+00,-8.081055e+00
1.493333e+08,-2.841797e+00,-4.931641e+00,-6.611328e+00,-8.061523e+00
1.506667e+08,-2.822266e+00,-4.926758e+00,-6.616211e+00,-8.032227e+00
1.520000e+08,-2.822266e+00,-4.907227e+00,-6.601562e+00,-8.022461e+00
1.533333e+08,-2.807617e+00,-4.887695e+00,-6.577148e+00,-7.978516e+00
1.546667e+08,-2.792969e+00,-4.882812e+00,-6.552734e+00,-7.983398e+00
1.560000e+08,-2.792969e+00,-4.848633e+00,-6.552734e+00,-7.929688e+00
1.573333e+08,-2.778320e+00,-4.858398e+00,-6.533203e+00,-7.929688e+00
1.586667e+08,-2.758789e+00,-4.824219e+00,-6.503906e+00,-7.915039e+00
1.600000e+08,-2.734375e+00,-4.785156e+00,-6.440430e+00,-7.856445e+00
1.613333e+08,-2.729492e+00,-4.775391e+00,-6.474609e+00,-7.851562e+00
1.626667e+08,-2.729492e+00,-4.790039e+00,-6.479492e+00,-7.875977e+00
1.640000e+08,-2.744141e+00,-4.790039e+00,-6.474609e+00,-7.871094e+00
1.653333e+08,-2.729492e+00,-4.785156e+00,-6.430664e+00,-7.851562e+00
1.666667e+08,-2.729492e+00,-4.770508e+00,-6.459961e+00,-7.861328e+00
1.680000e+08,-2.734375e+00,-4.785156e+00,-6.425781e+00,-7.832031e+00
1.693333e+08,-2.709961e+00,-4.746094e+00,-6.435547e+00,-7.827148e+00
1.706667e+08,-2.719727e+00,-4.775391e+00,-6.406250e+00,-7.827148e+00
1.720000e+08,-2.719727e+00,-4.775391e+00,-6.474609e+00,-7.832031e+00
1.733333e+08,-2.709961e+00,-4.770508e+00,-6.430664e+00,-7.841797e+00
1.746667e+08,-2.729492e+00,-4.785156e+00,-6.479492e+00,-7.880859e+00
1.760000e+08,-2.753906e+00,-4.804688e+00,-6.484375e+00,-7.910156e+00
1.773333e+08,-2.773438e+00,-4.824219e+00,-6.494141e+00,-7.880859e+00
1.786667e+08,-2.758789e+00,-4.833984e+00,-6.499023e+00,-7.900391e+00
1.800000e+08,-2.792969e+00,-4.868164e+00,-6.538086e+00,-7.983398e+00
1.813333e+08,-2.792969e+00,-4.853516e+00,-6.557617e+00,-7.993164e+00
1.826667e+08,-2.807617e+00,-4.868164e+00,-6.596680e+00,-8.037109e+00
1.840000e+08,-2.822266e+00,-4.936523e+00,-6.645508e+00,-8.081055e+00
1.853333e+08,-2.871094e+00,-4.980469e+00,-6.669922e+00,-8.105469e+00
1.866667e+08,-2.866211e+00,-4.956055e+00,-6.699219e+00,-8.159180e+00
1.880000e+08,-2.910156e+00,-5.043945e+00,-6.723633e+00,-8.208008e+00
