Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.822500,Auto
Start Frequency,+9.900000000e+05
Stop Frequency,+1.989900000e+08
Average Type,Log Pwr
RBW,30000.000000,Manual
VBW,30000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,990.000 kHz,-6.97 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
2.158200e+07,-2.441250e+01,-2.441250e+01,-2.447109e+01
2.184600e+07,-2.475429e+01,-2.475429e+01,-2.475429e+01
2.211000e+07,-2.503261e+01,-2.503261e+01,-2.503261e+01
2.237400e+07,-2.533046e+01,-2.533046e+01,-2.533046e+01
2.263800e+07,-2.567714e+01,-2.567714e+01,-2.567714e+01
2.290200e+07,-2.601894e+01,-2.601894e+01,-2.601894e+01
2.316600e+07,-2.631191e+01,-2.631191e+01,-2.631191e+01
2.343000e+07,-2.657070e+01,-2.664882e+01,-2.672207e+01
2.369400e+07,-2.681484e+01,-2.690761e+01,-2.702480e+01
2.395800e+07,-2.693691e+01,-2.693691e+01,-2.734707e+01
2.422200e+07,-2.709804e+01,-2.714199e+01,-2.773281e+01
2.448600e+07,-2.726406e+01,-2.726406e+01,-2.792324e+01
2.475000e+07,-2.743984e+01,-2.743984e+01,-2.843593e+01
2.501400e+07,-2.767421e+01,-2.770351e+01,-2.866054e+01
2.527800e+07,-2.785976e+01,-2.796718e+01,-2.897304e+01
2.554200e+07,-2.798671e+01,-2.799648e+01,-2.935390e+01
2.580600e+07,-2.826503e+01,-2.826503e+01,-2.965664e+01
2.607000e+07,-2.850429e+01,-2.850429e+01,-3.017910e+01
2.633400e+07,-2.858242e+01,-2.860195e+01,-3.043789e+01
2.659800e+07,-2.868007e+01,-2.876796e+01,-3.056484e+01
2.686200e+07,-2.894375e+01,-2.898769e+01,-3.114101e+01
2.712600e+07,-2.915371e+01,-2.915371e+01,-3.147792e+01
2.739000e+07,-2.939296e+01,-2.942226e+01,-3.189296e+01
2.765400e+07,-2.944667e+01,-2.944667e+01,-3.233730e+01
2.791800e+07,-2.974453e+01,-2.981777e+01,-3.263515e+01
2.818200e+07,-2.985683e+01,-2.992519e+01,-3.285488e+01
2.844600e+07,-3.003750e+01,-3.018398e+01,-3.334316e+01
2.871000e+07,-3.014492e+01,-3.014492e+01,-3.374843e+01
2.897400e+07,-3.046230e+01,-3.061367e+01,-3.413417e+01
2.923800e+07,-3.063808e+01,-3.063808e+01,-3.421718e+01
2.950200e+07,-3.086269e+01,-3.086269e+01,-3.479824e+01
2.976600e+07,-3.113613e+01,-3.125332e+01,-3.534511e+01
3.003000e+07,-3.115566e+01,-3.122402e+01,-3.574550e+01
3.029400e+07,-3.134609e+01,-3.139492e+01,-3.608242e+01
3.055800e+07,-3.143398e+01,-3.152675e+01,-3.642910e+01
3.082200e+07,-3.188320e+01,-3.188320e+01,-3.680996e+01
3.108600e+07,-3.197109e+01,-3.197109e+01,-3.719082e+01
3.135000e+07,-3.216640e+01,-3.234707e+01,-3.775722e+01
