Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
8.266667e+07,-7.812500e-01,-1.625977e+00,-2.436523e+00,-3.168945e+00
8.400000e+07,-7.470703e-01,-1.601562e+00,-2.412109e+00,-3.100586e+00
8.533334e+07,-8.007812e-01,-1.650391e+00,-2.416992e+00,-3.173828e+00
8.666667e+07,-7.617188e-01,-1.625977e+00,-2.426758e+00,-3.134766e+00
8.800000e+07,-7.714844e-01,-1.630859e+00,-2.407227e+00,-3.154297e+00
8.933334e+07,-7.763672e-01,-1.640625e+00,-2.441406e+00,-3.198242e+00
9.066666e+07,-7.666016e-01,-1.645508e+00,-2.441406e+00,-3.139648e+00
9.200001e+07,-8.251953e-01,-1.660156e+00,-2.504883e+00,-3.212891e+00
9.333334e+07,-7.958984e-01,-1.665039e+00,-2.465820e+00,-3.188477e+00
9.466666e+07,-7.714844e-01,-1.665039e+00,-2.490234e+00,-3.129883e+00
9.599999e+07,-7.519531e-01,-1.655273e+00,-2.495117e+00,-3.183594e+00
9.733334e+07,-7.958984e-01,-1.645508e+00,-2.495117e+00,-3.247070e+00
9.866666e+07,-7.714844e-01,-1.684570e+00,-2.514648e+00,-3.217773e+00
9.999999e+07,-7.812500e-01,-1.660156e+00,-2.421875e+00,-3.183594e+00
1.013333e+08,-8.154297e-01,-1.674805e+00,-2.514648e+00,-3.256836e+00
1.026667e+08,-8.203125e-01,-1.718750e+00,-2.548828e+00,-3.261719e+00
1.040000e+08,-7.958984e-01,-1.723633e+00,-2.519531e+00,-3.222656e+00
1.053333e+08,-8.154297e-01,-1.728516e+00,-2.543945e+00,-3.237305e+00
1.066667e+08,-8.642578e-01,-1.723633e+00,-2.583008e+00,-3.300781e+00
1.080000e+08,-8.154297e-01,-1.723633e+00,-2.568359e+00,-3.276367e+00
