Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.822500,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+2.000000000e+08
Average Type,Log Pwr
RBW,30000.000000,Manual
VBW,30000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,0 Hz,1.92 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B
2.826667e+07,-2.987636e+01,-2.993984e+01
2.853333e+07,-3.001796e+01,-3.001796e+01
2.880000e+07,-3.017910e+01,-3.023281e+01
2.906667e+07,-3.049648e+01,-3.049648e+01
2.933333e+07,-3.056972e+01,-3.060390e+01
2.960000e+07,-3.086757e+01,-3.086757e+01
2.986667e+07,-3.096035e+01,-3.096035e+01
3.013333e+07,-3.121914e+01,-3.132167e+01
3.040000e+07,-3.141933e+01,-3.141933e+01
3.066667e+07,-3.165371e+01,-3.165371e+01
3.093333e+07,-3.167324e+01,-3.168300e+01
3.120000e+07,-3.196621e+01,-3.196621e+01
3.146667e+07,-3.221523e+01,-3.221523e+01
3.173333e+07,-3.226894e+01,-3.226894e+01
3.200000e+07,-3.250332e+01,-3.250332e+01
3.226667e+07,-3.282070e+01,-3.282070e+01
3.253333e+07,-3.292324e+01,-3.292324e+01
3.280000e+07,-3.322597e+01,-3.328457e+01
3.306667e+07,-3.335292e+01,-3.337246e+01
3.333333e+07,-3.370449e+01,-3.379238e+01
3.360000e+07,-3.378261e+01,-3.384609e+01
3.386667e+07,-3.408535e+01,-3.408535e+01
3.413333e+07,-3.409023e+01,-3.424160e+01
3.440000e+07,-3.440761e+01,-3.442714e+01
3.466666e+07,-3.462734e+01,-3.462734e+01
3.493334e+07,-3.482265e+01,-3.493984e+01
3.520000e+07,-3.497402e+01,-3.517421e+01
3.546666e+07,-3.512050e+01,-3.542324e+01
3.573334e+07,-3.466640e+01,-3.543300e+01
3.600000e+07,-3.464199e+01,-3.575527e+01
3.626667e+07,-3.440761e+01,-3.616054e+01
3.653333e+07,-3.418300e+01,-3.614589e+01
3.680000e+07,-3.376308e+01,-3.659023e+01
3.706667e+07,-3.355312e+01,-3.666835e+01
3.733333e+07,-3.334316e+01,-3.705898e+01
3.760000e+07,-3.321132e+01,-3.736171e+01
3.786667e+07,-3.286464e+01,-3.747890e+01
3.813334e+07,-3.274257e+01,-3.785000e+01
3.840000e+07,-3.260097e+01,-3.818691e+01
3.866666e+07,-3.236660e+01,-3.813320e+01
3.893333e+07,-3.222500e+01,-3.863125e+01
3.920000e+07,-3.177578e+01,-3.869960e+01
3.946667e+07,-3.174160e+01,-3.923671e+01
3.973333e+07,-3.164882e+01,-3.942714e+01
4.000000e+07,-3.155605e+01,-3.960781e+01
4.026667e+07,-3.127285e+01,-4.009609e+01
4.053333e+07,-3.120937e+01,-4.001308e+01
4.080000e+07,-3.110683e+01,-4.081386e+01
4.106666e+07,-3.095058e+01,-4.073085e+01
4.133334e+07,-3.069179e+01,-4.095546e+01
4.160000e+07,-3.069179e+01,-4.162929e+01
4.186666e+07,-3.050625e+01,-4.154140e+01
4.213334e+07,-3.040371e+01,-4.218593e+01
4.240000e+07,-3.027675e+01,-4.235683e+01
4.266667e+07,-3.014980e+01,-4.280117e+01
4.293333e+07,-2.993007e+01,-4.337734e+01
4.320000e+07,-2.986171e+01,-4.332851e+01
4.346667e+07,-2.984707e+01,-4.377285e+01
4.373333e+07,-2.974941e+01,-4.431484e+01
4.400000e+07,-2.961269e+01,-4.424160e+01
4.426667e+07,-2.946621e+01,-4.385585e+01
4.453334e+07,-2.943691e+01,-4.513027e+01
4.480000e+07,-2.921718e+01,-4.475917e+01
4.506666e+07,-2.920253e+01,-4.511074e+01
4.533333e+07,-2.884609e+01,-4.549648e+01
4.560000e+07,-2.896328e+01,-4.610683e+01
4.586667e+07,-2.892910e+01,-4.573085e+01
4.613334e+07,-2.874355e+01,-4.673671e+01
4.640000e+07,-2.861171e+01,-4.641445e+01
4.666667e+07,-2.853359e+01,-4.671718e+01
4.693333e+07,-2.848964e+01,-4.696621e+01
4.720000e+07,-2.840175e+01,-4.697109e+01
4.746666e+07,-2.825039e+01,-4.680996e+01
4.773333e+07,-2.814296e+01,-4.649746e+01
4.800000e+07,-2.810878e+01,-4.658535e+01
4.826667e+07,-2.806484e+01,-4.644863e+01
4.853334e+07,-2.801113e+01,-4.613613e+01
4.880000e+07,-2.791347e+01,-4.599453e+01
4.906667e+07,-2.769863e+01,-4.588710e+01
4.933333e+07,-2.773281e+01,-4.560390e+01
4.960000e+07,-2.755214e+01,-4.516445e+01
4.986666e+07,-2.750332e+01,-4.523281e+01
5.013334e+07,-2.751796e+01,-4.537441e+01
5.040000e+07,-2.739589e+01,-4.487636e+01
5.066667e+07,-2.734218e+01,-4.456386e+01
5.093334e+07,-2.732753e+01,-4.393398e+01
5.120000e+07,-2.712246e+01,-4.391445e+01
5.146666e+07,-2.715175e+01,-4.412929e+01
5.173333e+07,-2.702968e+01,-4.321132e+01
5.200000e+07,-2.702968e+01,-4.325039e+01
5.226666e+07,-2.689785e+01,-4.328457e+01
5.253334e+07,-2.685878e+01,-4.285000e+01
5.280000e+07,-2.680019e+01,-4.271328e+01
5.306667e+07,-2.669765e+01,-4.242519e+01
5.333333e+07,-2.670742e+01,-4.162929e+01
5.360000e+07,-2.663417e+01,-4.192714e+01
5.386666e+07,-2.657558e+01,-4.199550e+01
5.413333e+07,-2.645839e+01,-4.132167e+01
5.440000e+07,-2.645351e+01,-4.119960e+01
5.466667e+07,-2.632167e+01,-4.137050e+01
5.493334e+07,-2.628750e+01,-4.112636e+01
5.520000e+07,-2.623867e+01,-4.061367e+01
5.546667e+07,-2.610195e+01,-4.036953e+01
5.573333e+07,-2.619960e+01,-4.035000e+01
5.600000e+07,-2.612148e+01,-4.046718e+01
5.626666e+07,-2.601406e+01,-4.035976e+01
5.653333e+07,-2.602382e+01,-3.985683e+01
5.680000e+07,-2.590175e+01,-3.963222e+01
5.706667e+07,-2.591640e+01,-3.972011e+01
5.733334e+07,-2.590664e+01,-3.977382e+01
5.760000e+07,-2.585292e+01,-3.942714e+01
5.786666e+07,-2.572597e+01,-3.916835e+01
5.813333e+07,-2.567714e+01,-3.919277e+01
5.840000e+07,-2.565273e+01,-3.896816e+01
5.866667e+07,-2.556972e+01,-3.883632e+01
5.893334e+07,-2.565273e+01,-3.860683e+01
