Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.456000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+4.000000000e+08
Average Type,Log Pwr
RBW,100000.000000,Manual
VBW,100000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0.000000e+00,3.110984e-01
5.333330e+05,-2.721128e+00
1.066667e+06,-1.334409e+00
1.600000e+06,-9.291359e-01
2.133333e+06,-1.012144e+00
2.666667e+06,-1.192808e+00
3.200000e+06,-1.241636e+00
3.733333e+06,-1.407652e+00
4.266667e+06,-1.485777e+00
4.800000e+06,-1.573667e+00
5.333334e+06,-1.720152e+00
5.866667e+06,-1.793394e+00
6.400000e+06,-1.881284e+00
6.933334e+06,-1.930112e+00
7.466667e+06,-1.969175e+00
8.000000e+06,-2.013120e+00
8.533333e+06,-2.061948e+00
9.066667e+06,-2.130308e+00
9.600000e+06,-2.149839e+00
1.013333e+07,-2.188902e+00
1.066667e+07,-2.218198e+00
1.120000e+07,-2.237730e+00
1.173333e+07,-2.281675e+00
1.226667e+07,-2.271909e+00
1.280000e+07,-2.296323e+00
1.333333e+07,-2.306089e+00
1.386667e+07,-2.325620e+00
1.440000e+07,-2.364683e+00
1.493333e+07,-2.374448e+00
1.546667e+07,-2.345152e+00
1.600000e+07,-2.384214e+00
1.653333e+07,-2.408628e+00
1.706667e+07,-2.413511e+00
1.760000e+07,-2.423277e+00
1.813333e+07,-2.437925e+00
1.866667e+07,-2.433042e+00
1.920000e+07,-2.423277e+00
1.973333e+07,-2.433042e+00
2.026667e+07,-2.428159e+00
2.080000e+07,-2.481870e+00
2.133333e+07,-2.447691e+00
2.186667e+07,-2.516050e+00
2.240000e+07,-2.491636e+00
2.293333e+07,-2.447691e+00
2.346667e+07,-2.452573e+00
2.400000e+07,-2.481870e+00
2.453333e+07,-2.496519e+00
2.506667e+07,-2.516050e+00
2.560000e+07,-2.491636e+00
2.613333e+07,-2.481870e+00
2.666667e+07,-2.540464e+00
2.720000e+07,-2.525816e+00
2.773333e+07,-2.481870e+00
2.826667e+07,-2.520933e+00
2.880000e+07,-2.501402e+00
2.933333e+07,-2.530698e+00
2.986667e+07,-2.525816e+00
3.040000e+07,-2.520933e+00
3.093333e+07,-2.545347e+00
3.146667e+07,-2.511167e+00
3.200000e+07,-2.511167e+00
3.253333e+07,-2.525816e+00
3.306667e+07,-2.520933e+00
3.360000e+07,-2.545347e+00
3.413333e+07,-2.496519e+00
3.466666e+07,-2.535581e+00
3.520000e+07,-2.506284e+00
3.573334e+07,-2.530698e+00
3.626667e+07,-2.511167e+00
3.680000e+07,-2.516050e+00
3.733333e+07,-2.525816e+00
3.786667e+07,-2.516050e+00
3.840000e+07,-2.545347e+00
3.893333e+07,-2.506284e+00
3.946667e+07,-2.496519e+00
4.000000e+07,-2.496519e+00
4.053333e+07,-2.486753e+00
4.106666e+07,-2.501402e+00
4.160000e+07,-2.486753e+00
4.213334e+07,-2.452573e+00
4.266667e+07,-2.481870e+00
4.320000e+07,-2.437925e+00
4.373333e+07,-2.433042e+00
4.426667e+07,-2.462339e+00
4.480000e+07,-2.398862e+00
4.533333e+07,-2.428159e+00
4.586667e+07,-2.418394e+00
4.640000e+07,-2.403745e+00
4.693333e+07,-2.442808e+00
4.746666e+07,-2.393980e+00
4.800000e+07,-2.369566e+00
4.853334e+07,-2.364683e+00
4.906667e+07,-2.350034e+00
4.960000e+07,-2.345152e+00
5.013334e+07,-2.325620e+00
5.066667e+07,-2.335386e+00
5.120000e+07,-2.306089e+00
5.173333e+07,-2.306089e+00
5.226666e+07,-2.262144e+00
5.280000e+07,-2.257261e+00
5.333333e+07,-2.286558e+00
5.386666e+07,-2.237730e+00
5.440000e+07,-2.301206e+00
5.493334e+07,-2.247495e+00
5.546667e+07,-2.184019e+00
5.600000e+07,-2.198667e+00
5.653333e+07,-2.179136e+00
5.706667e+07,-2.193784e+00
5.760000e+07,-2.144956e+00
5.813333e+07,-2.159605e+00
5.866667e+07,-2.144956e+00
5.920000e+07,-2.105894e+00
5.973333e+07,-2.110777e+00
6.026666e+07,-2.042417e+00
6.080000e+07,-2.096128e+00
6.133334e+07,-2.042417e+00
6.186667e+07,-2.091245e+00
6.240000e+07,-2.047300e+00
6.293334e+07,-2.013120e+00
6.346667e+07,-1.998472e+00
6.400000e+07,-1.983823e+00
6.453333e+07,-1.993589e+00
6.506666e+07,-1.930112e+00
6.560000e+07,-1.983823e+00
6.613333e+07,-1.939878e+00
6.666666e+07,-1.944761e+00
6.720000e+07,-1.954527e+00
6.773334e+07,-1.851987e+00
6.826666e+07,-1.891050e+00
6.880000e+07,-1.856870e+00
6.933333e+07,-1.851987e+00
6.986667e+07,-1.881284e+00
7.040000e+07,-1.842222e+00
7.093333e+07,-1.832456e+00
7.146667e+07,-1.817808e+00
7.200000e+07,-1.832456e+00
7.253334e+07,-1.808042e+00
7.306666e+07,-1.764097e+00
7.360000e+07,-1.778745e+00
7.413334e+07,-1.778745e+00
7.466666e+07,-1.768980e+00
7.520000e+07,-1.744566e+00
7.573334e+07,-1.715269e+00
7.626667e+07,-1.710386e+00
7.680000e+07,-1.759214e+00
7.733333e+07,-1.725034e+00
7.786666e+07,-1.695737e+00
7.840000e+07,-1.729917e+00
7.893334e+07,-1.666441e+00
7.946666e+07,-1.710386e+00
8.000000e+07,-1.725034e+00
8.053334e+07,-1.666441e+00
8.106666e+07,-1.646909e+00
8.160000e+07,-1.690855e+00
8.213333e+07,-1.676206e+00
8.266667e+07,-1.651792e+00
8.320000e+07,-1.632261e+00
8.373333e+07,-1.632261e+00
8.426667e+07,-1.642027e+00
8.480000e+07,-1.617612e+00
8.533334e+07,-1.622495e+00
8.586666e+07,-1.632261e+00
8.640000e+07,-1.607847e+00
8.693334e+07,-1.656675e+00
8.746666e+07,-1.646909e+00
8.800000e+07,-1.602964e+00
8.853334e+07,-1.593198e+00
8.906667e+07,-1.632261e+00
8.960000e+07,-1.646909e+00
9.013333e+07,-1.563902e+00
9.066666e+07,-1.612730e+00
9.120000e+07,-1.598081e+00
9.173334e+07,-1.549253e+00
9.226667e+07,-1.612730e+00
9.280000e+07,-1.598081e+00
9.333334e+07,-1.612730e+00
9.386666e+07,-1.554136e+00
9.440000e+07,-1.642027e+00
9.493333e+07,-1.612730e+00
9.546666e+07,-1.583433e+00
9.599999e+07,-1.583433e+00
