Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,-2.000000000E+01
Attenuation,0.000000,Manual
Sweep Time,494422.310757,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+4.944223108E+07
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,10.000000,Manual
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,49000000.00000000,,,,,,,
Marker Ampt,-68.65822130,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Sample
Trace Data
0,-11.53
65923,-11.62
131846,-11.84
197769,-12.15
263692,-12.59
329615,-13.14
395538,-13.81
461461,-14.64
527384,-15.33
593307,-14.53
659230,-13.89
725153,-13.38
791076,-12.98
856999,-12.70
922922,-12.54
988845,-12.49
1054768,-12.56
1120691,-12.74
1186614,-13.04
1252537,-13.46
1318459,-14.00
1384382,-14.66
1450305,-15.43
1516228,-16.31
1582151,-17.34
1648074,-18.50
1713997,-19.78
1779920,-21.19
1845843,-22.75
1911766,-24.45
1977689,-26.29
2043612,-28.24
2109535,-30.28
2175458,-31.35
2241381,-30.49
2307304,-29.31
2373227,-28.31
2439150,-27.33
2505073,-26.42
2570996,-25.63
2636919,-24.93
2702842,-24.23
2768765,-23.69
2834688,-23.28
2900611,-23.01
2966534,-22.87
3032457,-22.95
3098380,-23.16
3164303,-23.50
3230226,-24.04
3296149,-24.63
3362072,-25.33
3427995,-26.04
3493918,-26.86
3559841,-27.76
3625764,-28.72
3691687,-29.85
3757610,-31.15
3823533,-32.59
3889456,-34.22
