Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+1.000000000E+01
Attenuation,30.000000,Manual
Sweep Time,3000.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+3.000000000E+07
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,100000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,320000.00000000,,,,,,,
Marker Ampt,18.14529896,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,127.05
40000,126.99
80000,126.90
120000,126.87
160000,126.81
200000,126.20
240000,125.72
280000,125.38
320000,125.13
360000,125.05
400000,124.92
440000,124.63
480000,124.21
520000,123.70
560000,123.17
600000,122.54
640000,121.78
680000,120.68
720000,119.70
760000,118.90
800000,118.22
840000,117.58
880000,116.83
920000,115.97
960000,114.91
1000000,113.84
1040000,112.61
1080000,111.95
1120000,109.89
1160000,108.27
1200000,106.74
1240000,105.51
1280000,104.21
1320000,102.88
1360000,101.62
1400000,99.88
1440000,98.26
1480000,96.44
1520000,95.80
1560000,94.22
1600000,90.38
1640000,88.10
1680000,86.28
1720000,84.21
1760000,82.22
1800000,81.24
1840000,80.52
1880000,76.09
1920000,73.33
1960000,71.70
2000000,83.91
2040000,70.60
2080000,67.36
2120000,64.34
2160000,63.17
2200000,64.65
2240000,65.77
2280000,73.21
2320000,67.35
2360000,62.65
2400000,60.38
2440000,77.25
2480000,79.40
2520000,65.80
2560000,63.76
2600000,64.10
2640000,63.69
2680000,61.99
2720000,68.08
2760000,71.77
2800000,63.99
2840000,62.87
2880000,65.23
2920000,79.40
2960000,70.16
3000000,60.60
3040000,57.78
3080000,63.36
3120000,63.20
3160000,61.50
3200000,67.02
3240000,65.59
3280000,61.57
3320000,61.98
3360000,62.42
3400000,77.70
3440000,65.75
3480000,60.80
3520000,61.87
3560000,59.56
3600000,58.39
3640000,57.77
3680000,62.77
3720000,63.39
3760000,56.59
3800000,58.77
3840000,75.98
3880000,77.69
3920000,61.07
3960000,60.05
4000000,58.31
4040000,58.54
4080000,61.27
4120000,58.59
4160000,61.65
4200000,61.68
4240000,60.50
4280000,60.73
4320000,76.35
4360000,68.95
4400000,59.67
4440000,58.08
4480000,59.28
4520000,61.20
4560000,61.07
4600000,58.92
4640000,55.14
4680000,59.85
4720000,58.79
4760000,58.22
4800000,76.61
4840000,63.87
4880000,58.66
4920000,58.68
4960000,58.35
5000000,58.35
5040000,58.26
5080000,61.30
5120000,58.81
5160000,60.08
5200000,60.99
5240000,72.90
5280000,75.63
5320000,55.80
5360000,56.94
5400000,59.99
5440000,59.06
5480000,59.79
5520000,60.19
5560000,57.63
5600000,55.39
5640000,54.47
5680000,56.97
5720000,75.10
5760000,68.87
5800000,58.10
5840000,58.82
5880000,58.88
5920000,56.27
5960000,56.94
6000000,57.86
6040000,59.72
6080000,58.07
6120000,57.19
6160000,58.36
6200000,74.68
6240000,63.90
6280000,58.99
6320000,58.72
6360000,58.58
6400000,56.90
6440000,55.92
6480000,55.04
6520000,58.83
6560000,60.05
6600000,56.89
6640000,63.52
6680000,73.28
6720000,61.45
6760000,55.91
6800000,55.13
6840000,55.17
6880000,59.26
6920000,58.38
6960000,58.54
7000000,53.67
7040000,57.37
7080000,59.38
7120000,72.33
7160000,71.44
7200000,54.61
7240000,56.91
7280000,56.44
7320000,72.01
7360000,59.00
7400000,55.64
7440000,56.12
7480000,56.52
7520000,56.12
7560000,55.95
7600000,57.01
7640000,56.59
7680000,56.64
7720000,55.63
7760000,55.20
7800000,70.83
7840000,59.58
7880000,57.91
7920000,54.86
7960000,56.39
8000000,55.14
8040000,52.63
8080000,54.37
8120000,55.14
8160000,52.79
8200000,55.33
8240000,70.69
8280000,71.55
8320000,56.13
8360000,55.31
8400000,54.10
8440000,55.00
8480000,53.86
8520000,53.23
8560000,56.29
8600000,55.82
8640000,55.41
8680000,55.74
8720000,66.73
8760000,59.75
8800000,53.02
8840000,51.27
8880000,54.65
8920000,54.25
8960000,53.00
9000000,54.25
9040000,54.49
9080000,53.34
9120000,54.48
9160000,55.51
9200000,56.78
9240000,58.47
9280000,53.94
9320000,54.70
9360000,54.32
9400000,67.73
9440000,66.49
9480000,56.56
9520000,54.00
9560000,56.38
9600000,55.06
9640000,53.33
9680000,54.43
9720000,56.34
9760000,54.48
9800000,54.46
9840000,55.90
9880000,66.71
9920000,58.65
9960000,53.68
10000000,53.08
10040000,53.88
10080000,52.43
10120000,54.42
10160000,53.53
10200000,54.05
10240000,54.94
10280000,54.91
10320000,55.72
10360000,66.59
10400000,57.25
10440000,56.04
10480000,56.54
10520000,53.09
10560000,54.54
10600000,54.57
10640000,54.90
10680000,56.34
10720000,54.60
10760000,53.38
10800000,52.99
10840000,65.63
10880000,57.53
10920000,54.75
10960000,52.76
11000000,53.78
11040000,54.04
11080000,54.16
11120000,53.18
11160000,51.61
11200000,52.76
11240000,54.54
11280000,57.66
11320000,64.23
11360000,55.49
11400000,53.02
11440000,52.93
11480000,54.16
11520000,53.84
11560000,55.71
11600000,54.75
11640000,56.48
11680000,54.12
11720000,51.26
11760000,51.14
11800000,54.93
11840000,56.29
11880000,53.42
11920000,53.12
11960000,51.06
12000000,63.70
12040000,56.52
12080000,55.81
12120000,55.26
12160000,56.24
12200000,54.03
12240000,54.20
12280000,53.48
12320000,52.82
12360000,52.29
12400000,53.67
12440000,54.56
12480000,63.99
12520000,53.58
12560000,54.26
12600000,52.46
12640000,52.58
12680000,52.07
12720000,51.47
12760000,54.67
12800000,54.68
12840000,53.68
12880000,53.02
12920000,58.96
12960000,64.93
13000000,55.61
13040000,53.40
13080000,54.58
13120000,53.01
13160000,51.03
13200000,49.71
13240000,53.15
13280000,54.83
13320000,52.39
13360000,52.54
13400000,61.38
13440000,62.39
13480000,54.81
13520000,52.53
13560000,50.22
13600000,54.66
13640000,54.99
13680000,52.51
13720000,52.94
13760000,54.67
13800000,55.77
13840000,54.49
13880000,57.65
13920000,57.88
13960000,50.46
14000000,50.06
14040000,55.50
14080000,55.53
14120000,59.32
14160000,53.61
14200000,53.41
14240000,53.08
14280000,50.22
14320000,52.18
14360000,51.33
14400000,55.43
14440000,52.10
14480000,52.50
14520000,53.66
14560000,53.79
14600000,61.99
14640000,55.52
14680000,53.82
14720000,55.29
14760000,51.46
14800000,55.10
14840000,53.96
14880000,51.43
14920000,50.34
14960000,53.02
15000000,53.34
15040000,53.21
15080000,60.31
15120000,52.05
15160000,53.72
15200000,53.35
15240000,52.07
15280000,52.79
15320000,52.07
15360000,52.69
15400000,52.61
15440000,52.25
15480000,53.40
15520000,52.17
15560000,60.29
15600000,52.89
15640000,52.27
15680000,51.50
15720000,53.84
15760000,53.01
15800000,51.17
15840000,52.33
15880000,50.35
15920000,51.62
15960000,53.15
16000000,53.57
16040000,60.55
16080000,54.27
16120000,54.55
16160000,52.45
16200000,51.86
16240000,53.04
16280000,55.24
16320000,51.98
16360000,53.13
16400000,50.82
16440000,53.24
16480000,53.07
16520000,61.04
16560000,53.87
16600000,53.28
16640000,53.96
16680000,54.27
16720000,56.37
16760000,51.55
16800000,50.20
16840000,51.28
16880000,50.15
16920000,53.09
16960000,54.64
17000000,60.73
17040000,51.14
17080000,53.48
17120000,52.90
17160000,52.89
17200000,52.94
17240000,51.01
17280000,52.15
17320000,53.83
17360000,54.12
17400000,52.83
17440000,54.74
17480000,60.90
17520000,53.97
17560000,52.91
17600000,53.48
17640000,50.82
17680000,50.93
17720000,49.47
17760000,50.33
17800000,53.94
17840000,51.09
17880000,50.74
17920000,55.25
17960000,61.41
18000000,52.53
18040000,52.60
18080000,52.24
18120000,53.73
18160000,50.60
18200000,54.28
18240000,55.53
18280000,54.91
18320000,54.92
18360000,53.34
18400000,56.82
18440000,60.68
18480000,55.86
18520000,53.85
18560000,53.80
18600000,55.48
18640000,51.71
18680000,53.00
18720000,53.18
18760000,49.28
