Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+5.000000000E+00
Attenuation,30.000000,Manual
Sweep Time,7305437.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,30.000000,Manual
VBW,30.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,26666.66666667,,,,,,,
Marker Ampt,-56.63205469,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,127.07
1333,51.04
2667,50.26
4000,49.00
5333,47.66
6667,50.64
8000,50.46
9333,50.41
10667,49.24
12000,51.43
13333,48.69
14667,50.34
16000,51.95
17333,51.34
18667,53.73
20000,81.72
21333,102.72
22667,63.54
24000,50.05
25333,49.57
26667,50.36
28000,51.60
29333,50.63
30667,50.33
32000,49.75
33333,50.52
34667,52.40
36000,50.26
37333,51.02
38667,50.76
40000,55.33
41333,83.35
42667,92.86
44000,72.86
45333,52.17
46667,52.42
48000,49.44
49333,51.29
50667,51.24
52000,50.73
53333,50.80
54667,52.07
56000,51.45
57333,51.23
58667,53.37
60000,52.96
61333,50.54
62667,63.78
64000,71.90
65333,72.61
66667,50.66
68000,51.71
69333,50.53
70667,51.67
72000,49.82
73333,50.54
74667,49.68
76000,51.09
77333,51.74
78667,50.40
80000,51.69
81333,51.45
82667,60.98
84000,67.21
85333,72.80
86667,76.05
88000,53.37
89333,49.79
90667,52.39
92000,51.93
93333,52.21
94667,53.36
96000,50.07
97333,50.05
98667,51.75
100000,51.67
101333,51.29
102667,51.32
104000,56.72
105333,57.62
106667,59.11
108000,63.43
109333,52.35
110667,50.30
112000,49.54
113333,51.74
114667,52.14
116000,51.19
117333,51.06
118667,51.86
120000,53.39
121333,51.04
122667,51.14
124000,51.06
125333,55.17
126667,57.61
128000,58.59
129333,65.71
130667,52.03
132000,50.74
133333,49.35
134667,51.25
136000,49.66
137333,52.29
138667,51.58
140000,50.89
141333,53.04
142667,51.23
144000,50.06
145333,52.00
146667,51.63
148000,54.06
149333,54.48
150667,53.26
152000,51.99
153333,50.95
154667,50.74
156000,50.23
157333,52.09
158667,50.24
160000,54.05
161333,52.38
162667,51.19
164000,52.77
165333,52.53
166667,53.18
168000,53.75
169333,53.04
170667,51.56
172000,55.87
173333,53.50
174667,52.15
176000,51.96
177333,49.98
178667,53.77
180000,51.09
181333,52.26
182667,51.43
184000,53.36
185333,49.93
186667,53.55
188000,53.97
189333,53.45
190667,52.43
192000,51.09
193333,53.71
194667,54.34
196000,53.10
197333,52.31
198667,53.30
200000,50.41
201333,50.98
202667,52.75
204000,52.59
205333,50.71
206667,53.82
208000,51.92
209333,52.60
210667,55.65
212000,53.90
213333,53.00
214667,58.16
216000,58.01
217333,51.91
218667,51.49
220000,52.42
221333,50.67
222667,51.42
224000,51.11
225333,52.13
226667,53.34
228000,51.30
229333,50.10
230667,52.19
232000,53.10
233333,52.19
234667,53.18
236000,53.67
237333,53.22
238667,51.00
240000,51.75
241333,52.12
242667,50.69
244000,50.75
245333,54.24
246667,51.72
248000,51.23
249333,51.79
250667,51.52
252000,51.05
253333,51.08
254667,52.64
256000,53.57
257333,55.81
258667,55.63
260000,51.06
261333,50.76
262667,52.33
264000,50.72
265333,50.80
266667,51.13
268000,51.28
269333,52.01
270667,52.92
272000,51.75
273333,52.10
274667,52.31
276000,51.31
277333,51.34
278667,50.57
280000,50.66
281333,51.56
282667,50.26
284000,52.17
285333,50.54
286667,50.29
288000,49.80
289333,49.36
290667,52.17
292000,50.05
293333,51.30
294667,52.54
296000,50.58
297333,52.64
298667,49.44
300000,52.25
301333,51.89
302667,52.51
304000,51.23
305333,53.38
306667,48.98
308000,51.19
309333,52.63
310667,49.91
312000,50.68
313333,49.52
314667,49.34
316000,53.07
317333,52.71
318667,50.38
320000,51.43
321333,51.11
322667,53.18
324000,50.68
325333,50.25
326667,49.26
328000,49.95
329333,50.43
330667,51.70
332000,49.77
333333,49.89
334667,48.85
336000,49.17
337333,51.31
338667,51.87
340000,50.20
341333,52.96
342667,55.99
344000,50.94
345333,49.48
346667,49.32
348000,51.65
349333,50.80
350667,50.12
352000,49.11
353333,52.20
354667,48.78
356000,50.74
357333,51.00
358667,49.80
360000,49.06
361333,51.14
362667,46.62
364000,48.84
365333,48.19
366667,47.95
368000,50.11
369333,48.44
370667,47.24
372000,47.98
373333,47.08
374667,46.48
376000,49.30
377333,48.84
378667,48.84
380000,50.09
381333,48.16
382667,47.49
384000,50.53
385333,49.51
386667,50.84
388000,50.80
389333,49.84
390667,47.99
392000,48.02
393333,48.72
394667,47.96
396000,48.13
397333,46.19
398667,49.49
400000,48.02
401333,48.96
402667,49.02
404000,46.60
405333,47.67
406667,45.94
408000,49.35
409333,47.46
410667,47.89
412000,46.84
413333,45.79
414667,47.66
416000,47.13
417333,46.31
418667,48.19
420000,46.77
421333,47.25
422667,45.11
424000,48.91
425333,48.61
426667,47.65
428000,45.35
429333,50.05
430667,47.68
432000,47.34
433333,47.68
434667,47.44
436000,45.37
437333,45.30
438667,47.88
440000,45.20
441333,46.49
442667,45.56
444000,45.11
445333,47.84
446667,46.57
448000,46.92
449333,47.05
450667,44.66
452000,45.55
453333,47.07
454667,46.06
456000,46.00
457333,47.03
458667,44.92
460000,45.24
461333,44.60
462667,43.90
464000,44.22
465333,45.60
466667,45.34
468000,46.44
469333,44.45
470667,45.13
472000,48.42
473333,46.31
474667,44.79
476000,46.11
477333,45.84
478667,46.65
480000,47.34
481333,45.35
482667,45.84
484000,49.22
485333,45.47
486667,47.63
488000,45.43
489333,45.47
490667,44.81
492000,46.37
493333,47.02
494667,47.75
496000,44.42
497333,44.03
498667,47.16
500000,43.13
501333,44.00
502667,43.70
504000,45.01
505333,44.70
506667,46.45
508000,46.80
509333,43.65
510667,46.76
512000,44.71
513333,43.35
514667,44.08
516000,45.00
517333,45.23
518667,47.54
520000,45.00
521333,43.22
522667,42.30
524000,43.74
525333,43.94
526667,43.39
528000,43.61
529333,45.29
530667,47.08
532000,44.73
533333,45.22
534667,44.19
536000,44.56
537333,46.67
538667,45.72
540000,47.67
541333,44.01
542667,42.77
544000,44.22
545333,43.32
546667,43.21
548000,43.52
549333,42.72
550667,45.61
552000,42.41
553333,42.72
554667,44.88
556000,44.64
557333,45.65
558667,49.89
560000,49.31
561333,43.64
562667,42.52
564000,44.34
565333,43.72
566667,42.10
568000,41.84
569333,45.43
570667,43.22
572000,43.79
573333,44.52
574667,43.71
576000,44.76
577333,42.56
578667,44.93
580000,47.51
581333,46.45
582667,46.41
584000,43.55
585333,41.74
586667,42.71
588000,42.82
589333,41.88
590667,44.65
592000,41.04
593333,45.12
594667,42.41
596000,43.60
597333,41.72
598667,41.51
600000,43.64
601333,46.09
602667,46.49
604000,44.90
605333,43.67
606667,42.12
608000,41.30
609333,41.27
610667,42.08
612000,41.09
613333,42.39
614667,41.83
616000,41.79
617333,43.31
618667,44.20
620000,41.81
621333,44.20
622667,45.57
624000,46.51
625333,48.46
626667,50.13
628000,43.47
629333,41.72
630667,41.19
632000,40.03
633333,41.23
634667,46.17
636000,42.67
637333,44.85
638667,42.09
640000,43.09
641333,42.35
642667,42.54
644000,43.72
645333,43.28
646667,40.53
648000,43.51
649333,40.33
650667,41.27
652000,41.18
653333,40.65
654667,39.76
656000,42.41
657333,39.77
658667,37.71
660000,41.00
661333,40.65
662667,40.08
664000,44.44
665333,41.67
666667,45.12
668000,47.70
669333,48.77
670667,47.30
672000,40.95
673333,41.88
674667,41.73
676000,42.08
677333,41.75
678667,39.91
680000,42.21
681333,41.06
682667,43.19
684000,43.39
685333,41.81
686667,41.66
688000,42.58
689333,44.41
690667,42.52
692000,44.70
693333,39.61
694667,40.12
696000,39.33
697333,40.73
698667,40.91
700000,42.08
701333,40.47
702667,39.35
704000,41.54
705333,41.27
706667,42.35
708000,44.33
709333,43.02
710667,43.59
