Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+5.000000000E+00
Attenuation,30.000000,Manual
Sweep Time,7305437.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,30.000000,Manual
VBW,30.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,26666.66666667,,,,,,,
Marker Ampt,-55.67014063,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,127.08
1333,51.32
2667,50.60
4000,49.43
5333,48.50
6667,54.38
8000,49.36
9333,50.54
10667,48.96
12000,49.05
13333,49.57
14667,51.69
16000,49.18
17333,51.45
18667,52.61
20000,95.34
21333,104.27
22667,57.83
24000,49.26
25333,52.22
26667,51.32
28000,50.75
29333,52.06
30667,49.52
32000,52.78
33333,49.67
34667,53.50
36000,51.51
37333,51.26
38667,51.68
40000,54.29
41333,87.43
42667,95.81
44000,54.58
45333,50.48
46667,50.80
48000,51.65
49333,51.40
50667,51.15
52000,53.44
53333,51.15
54667,53.29
56000,52.11
57333,52.40
58667,52.94
60000,49.84
61333,61.09
62667,72.88
64000,66.16
65333,51.73
66667,47.76
68000,50.11
69333,52.52
70667,52.75
72000,49.70
73333,51.44
74667,53.71
76000,51.41
77333,51.15
78667,52.93
80000,52.16
81333,65.98
82667,73.63
84000,79.86
85333,80.54
86667,50.37
88000,51.79
89333,49.36
90667,52.18
92000,52.49
93333,52.40
94667,53.74
96000,49.61
97333,50.38
98667,51.87
100000,50.92
101333,50.43
102667,56.31
104000,60.94
105333,70.12
106667,67.30
108000,51.20
109333,53.38
110667,51.93
112000,51.02
113333,53.48
114667,51.51
116000,50.55
117333,51.97
118667,50.82
120000,52.97
121333,49.99
122667,57.62
124000,63.79
125333,71.47
126667,69.37
128000,51.04
129333,53.29
130667,50.93
132000,51.78
133333,53.31
134667,52.35
136000,50.45
137333,51.72
138667,50.79
140000,52.97
141333,51.25
142667,50.97
144000,52.69
145333,52.21
146667,53.61
148000,60.64
149333,51.71
150667,52.61
152000,52.06
153333,51.62
154667,52.17
156000,51.57
157333,52.63
158667,50.77
160000,52.67
161333,51.22
162667,49.80
164000,52.43
165333,53.38
166667,54.56
168000,59.80
169333,53.65
170667,52.34
172000,49.80
173333,50.65
174667,51.25
176000,52.13
177333,51.83
178667,53.11
180000,51.81
181333,49.43
182667,52.30
184000,52.56
185333,51.26
186667,51.40
188000,50.90
189333,51.56
190667,51.36
192000,53.90
193333,52.31
194667,51.42
196000,52.28
197333,50.61
198667,50.32
200000,52.33
201333,50.84
202667,51.38
204000,50.03
205333,51.82
206667,54.93
208000,54.80
209333,54.77
210667,62.64
212000,57.59
213333,52.80
214667,53.56
216000,52.21
217333,52.27
218667,53.89
220000,51.64
221333,51.50
222667,50.84
224000,52.15
225333,53.10
226667,53.27
228000,51.28
229333,50.13
230667,50.93
232000,52.75
233333,53.22
234667,55.13
236000,49.19
237333,49.80
238667,51.95
240000,51.67
241333,51.09
242667,52.45
244000,52.76
245333,50.14
246667,52.38
248000,53.71
249333,50.43
250667,50.83
252000,52.22
253333,60.15
254667,51.25
256000,50.94
257333,51.93
258667,51.70
260000,52.10
261333,51.42
262667,53.25
264000,53.12
265333,51.57
266667,50.19
268000,50.73
269333,52.25
270667,52.10
272000,50.85
273333,55.54
274667,49.43
276000,52.26
277333,49.97
278667,49.80
280000,50.67
281333,50.77
282667,52.76
284000,51.75
285333,52.10
286667,50.35
288000,49.67
289333,50.62
290667,50.60
292000,53.93
293333,49.55
294667,52.69
296000,53.42
297333,51.56
298667,50.49
300000,50.55
301333,49.78
302667,49.97
304000,50.12
305333,52.88
306667,50.79
308000,53.95
309333,49.08
310667,51.03
312000,50.76
313333,53.32
314667,51.87
316000,51.83
317333,49.54
318667,51.35
320000,50.65
321333,52.18
322667,50.60
324000,48.81
325333,50.65
326667,52.04
328000,51.94
329333,49.06
330667,51.22
332000,49.51
333333,50.33
334667,51.35
336000,52.48
337333,49.27
338667,51.78
340000,54.09
341333,51.18
342667,50.15
344000,49.97
345333,47.84
346667,48.43
348000,48.43
349333,49.62
350667,48.21
352000,47.65
353333,49.31
354667,51.77
356000,49.35
357333,52.36
358667,50.41
360000,46.92
361333,51.81
362667,50.04
364000,49.55
365333,47.05
366667,49.09
368000,51.43
369333,49.63
370667,48.43
372000,48.74
373333,49.60
374667,51.23
376000,49.45
377333,51.30
378667,48.65
380000,49.01
381333,49.69
382667,48.02
384000,47.04
385333,46.01
386667,47.98
388000,45.62
389333,49.06
390667,47.88
392000,48.37
393333,47.36
394667,48.04
396000,46.29
397333,49.26
398667,47.62
400000,46.38
401333,47.14
402667,46.70
404000,48.88
405333,48.06
406667,46.96
408000,47.92
409333,46.94
410667,47.42
412000,46.81
413333,49.88
414667,48.01
416000,48.76
417333,49.38
418667,46.00
420000,48.88
421333,47.30
422667,46.90
424000,46.37
425333,45.90
426667,47.55
428000,48.18
429333,46.97
430667,47.20
432000,46.15
433333,45.58
434667,43.89
436000,48.33
437333,48.68
438667,44.31
440000,47.13
441333,48.55
442667,47.38
444000,49.01
445333,45.78
446667,45.76
448000,45.34
449333,46.83
450667,47.56
452000,46.61
453333,45.75
454667,45.25
456000,44.33
457333,43.92
458667,48.23
460000,47.83
461333,45.95
462667,47.03
464000,48.54
465333,45.78
466667,46.82
468000,46.33
469333,44.22
470667,45.68
472000,45.47
473333,46.01
474667,47.52
476000,45.07
477333,45.97
478667,43.57
480000,44.24
481333,45.66
482667,45.32
484000,48.51
485333,45.06
486667,46.33
488000,47.50
489333,45.74
490667,46.96
492000,43.91
493333,43.75
494667,44.48
496000,44.78
497333,44.84
498667,44.65
500000,46.37
501333,44.27
502667,44.77
504000,44.89
505333,44.38
506667,45.71
508000,48.36
509333,44.04
510667,44.10
512000,43.11
513333,43.81
514667,44.87
516000,43.09
517333,42.49
518667,43.71
520000,46.01
521333,43.39
522667,48.86
524000,43.25
525333,45.81
526667,45.44
528000,46.31
529333,46.39
530667,45.28
532000,44.45
533333,45.09
534667,41.86
536000,40.70
537333,43.89
538667,43.81
540000,45.67
541333,44.41
542667,41.63
544000,46.45
545333,43.32
546667,42.04
548000,44.43
549333,40.33
550667,43.63
552000,45.85
553333,47.20
554667,43.46
556000,43.37
557333,43.40
558667,43.81
560000,44.23
561333,42.63
562667,42.59
564000,42.76
565333,41.44
566667,43.61
568000,44.11
569333,44.21
570667,43.18
572000,43.44
573333,42.45
574667,42.37
576000,43.98
577333,42.92
578667,44.84
580000,45.52
581333,43.04
582667,43.14
584000,43.24
585333,42.27
586667,46.34
588000,40.86
589333,44.13
590667,41.56
592000,43.64
593333,43.07
594667,42.64
596000,44.49
597333,42.24
598667,41.09
600000,40.33
601333,41.62
602667,40.59
604000,42.18
605333,42.26
606667,41.49
608000,41.30
609333,41.31
610667,42.62
612000,41.29
613333,41.81
614667,43.13
616000,41.74
617333,42.86
618667,41.83
620000,40.34
621333,42.14
622667,40.46
624000,41.97
625333,43.70
626667,43.13
628000,41.50
629333,42.36
630667,40.73
632000,40.45
633333,40.68
634667,40.20
636000,42.37
637333,42.34
638667,43.88
640000,43.46
641333,40.99
642667,40.87
644000,41.06
645333,41.19
646667,39.37
648000,41.42
649333,41.81
650667,39.96
652000,40.92
653333,39.54
654667,41.92
656000,43.64
657333,41.51
658667,41.55
660000,40.34
661333,39.60
662667,43.11
664000,42.67
665333,41.70
666667,41.94
668000,42.80
669333,43.18
670667,42.03
672000,40.87
673333,43.17
674667,41.22
676000,39.08
677333,40.36
678667,41.78
680000,40.62
681333,39.58
682667,40.82
684000,41.74
685333,39.58
686667,39.82
688000,40.72
689333,43.27
690667,44.17
692000,41.00
693333,40.23
694667,40.92
696000,39.76
697333,39.84
698667,44.70
700000,41.34
701333,40.03
702667,39.50
704000,42.48
705333,39.74
706667,40.19
708000,39.83
709333,38.31
710667,41.77
